"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,100,"small",0.1,200101,0,0,0,"int12_3","x1",0,0.995836475042426
2,100,"small",0.1,200102,2,0,2,"int12_3","null",0,0.994550343612184
3,100,"small",0.1,200103,0,0,0,"int12_3","null",0,0.999985882451688
4,100,"small",0.1,200104,2,0,2,"int12_3","null",0,0.50302101460479
5,100,"small",0.1,200105,1,0,1,"int12_3","x1",0,0.524859496193596
6,100,"small",0.1,200106,0,0,0,"int12_3","int12_3",1,0.893658908541131
7,100,"small",0.1,200107,1,0,1,"int12_3","int12_3",1,0.612978292073698
8,100,"small",0.1,200108,2,0,2,"int12_3","x1",0,0.971976293210079
9,100,"small",0.1,200109,2,0,2,"int12_3","int12_3",1,0.936019520811
10,100,"small",0.1,200110,2,0,2,"int12_3","x1",0,0.999685592741099
11,100,"small",0.1,200111,0,0,0,"int12_3","null",0,0.997079537410842
12,100,"small",0.1,200112,0,0,0,"int12_3","null",0,0.999934532440041
13,100,"small",0.1,200113,3,1,4,"int12_3","int12_3",1,0.782169728973463
14,100,"small",0.1,200114,0,0,0,"int12_3","null",0,0.999864364590333
15,100,"small",0.1,200115,4,1,5,"int12_3","int12_3",1,0.993858345872626
16,100,"small",0.1,200116,1,1,2,"int12_3","int12_3",1,0.999993243579667
17,100,"small",0.1,200117,2,0,2,"int12_3","int12_3",1,0.999999658015119
18,100,"small",0.1,200118,1,0,1,"int12_3","int12_3",1,0.540320820963988
19,100,"small",0.1,200119,1,0,1,"int12_3","null",0,0.980848024197676
20,100,"small",0.1,200120,0,0,0,"int12_3","null",0,0.924591612800677
21,100,"small",0.1,200121,0,0,0,"int12_3","null",0,0.994462540697865
22,100,"small",0.1,200122,1,0,1,"int12_3","int12_3",1,0.847259915752695
23,100,"small",0.1,200123,2,0,2,"int12_3","int12_3",1,0.999278681492643
24,100,"small",0.1,200124,1,1,2,"int12_3","int12_3",1,0.999996204011931
25,100,"small",0.1,200125,2,1,3,"int12_3","int14_2",0,0.999784571558287
26,100,"small",0.1,200126,1,2,3,"int12_3","int12_3",1,0.999938636401773
27,100,"small",0.1,200127,0,0,0,"int12_3","null",0,0.899240848517713
28,100,"small",0.1,200128,1,1,2,"int12_3","int12_3",1,0.999921754450145
29,100,"small",0.1,200129,0,0,0,"int12_3","null",0,0.970890599984213
30,100,"small",0.1,200130,2,0,2,"int12_3","int12_3",1,0.999998192076254
31,100,"small",0.1,200131,1,0,1,"int12_3","int12_3",1,0.878200464480353
32,100,"small",0.1,200132,1,0,1,"int12_3","int12_3",1,0.998583164557223
33,100,"small",0.1,200133,0,0,0,"int12_3","null",0,0.97907829085543
34,100,"small",0.1,200134,5,0,5,"int12_3","int12_3",1,0.999891676021602
35,100,"small",0.1,200135,4,0,4,"int12_3","int12_3",1,0.999437017414646
36,100,"small",0.1,200136,0,0,0,"int12_3","null",0,0.990779724441515
37,100,"small",0.1,200137,2,0,2,"int12_3","int12_3",1,0.999903352138236
38,100,"small",0.1,200138,0,0,0,"int12_3","null",0,0.996483867073327
39,100,"small",0.1,200139,1,0,1,"int12_3","int12_3",1,0.811777027439702
40,100,"small",0.1,200140,0,0,0,"int12_3","null",0,0.999768898038871
41,100,"small",0.1,200141,3,0,3,"int12_3","int12_3",1,0.998491644737089
42,100,"small",0.1,200142,1,0,1,"int12_3","int12_3",1,0.958814414666652
43,100,"small",0.1,200143,1,0,1,"int12_3","null",0,0.816115632269025
44,100,"small",0.1,200144,0,0,0,"int12_3","null",0,0.963516907151309
45,100,"small",0.1,200145,2,0,2,"int12_3","int12_3",1,0.999669095417767
46,100,"small",0.1,200146,0,0,0,"int12_3","null",0,0.987039667515288
47,100,"small",0.1,200147,3,0,3,"int12_3","int12_3",1,0.999999300067925
48,100,"small",0.1,200148,1,0,1,"int12_3","null",0,0.984714776480484
49,100,"small",0.1,200149,1,1,2,"int12_3","int12_3",1,0.999971885714409
50,100,"small",0.1,200150,1,0,1,"int12_3","int12_3",1,0.928667845247871
