"model","log_marginal","post_prob"
"x1",-3.74189166346368,0.611860322426726
"null",-4.20028055557987,0.386880218816332
"int12_3",-10.2625759034187,0.000901062897900046
"x3",-11.8593468071718,0.000182509852963945
"x4",-12.2874562332303,0.000118948988643967
"x2",-13.2511547217802,4.53765860298636e-05
"int12_4",-14.63479866111,1.13742531606002e-05
"int12",-18.7872519185574,1.78869113343621e-07
"int13_2",-23.2088673586157,2.1490779462595e-09
"int23_1",-23.2112708704706,2.14391881443935e-09
"main",-23.5508993148636,1.52654487747946e-09
"int14_2",-24.2592789575102,7.51734022600087e-10
"int24_1",-24.3766880346535,6.6845794889515e-10
"int34_1",-27.3637231220259,3.37148503506514e-11
"int14_3",-27.8757038744404,2.02055567074263e-11
"int13_4",-28.3004973310753,1.32125111417515e-11
"int34",-31.2761846545754,6.74001374313841e-13
"int14",-31.7314415054737,4.27508982158514e-13
"int24",-31.7758888478424,4.08923442628446e-13
"int13",-31.8615031987159,3.75370525371824e-13
"int23",-31.8746536596257,3.70466545421675e-13
"int34_2",-36.4449138113235,3.83627940977051e-15
"int23_4",-37.0579075916394,2.07821471048914e-15
"int24_3",-37.1105351245959,1.97167153899388e-15
"int124_3",-44.5775334832047,1.12708944818258e-18
"int123_4",-45.2158673913957,5.95296720463344e-19
"int134_2",-55.2262799839136,2.67464741602109e-23
"int234_1",-56.1175885818474,1.09692297722077e-23
"full",-101.552581646183,2.0324008158859e-43
