"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,50,"big",0.7071068,0.50000002660624,150301,0,1,1,"int12_3","~x1 * x2 + x3",-5.29669200196497,NA,1,0.761353756331399,NA
2,50,"big",0.7071068,0.50000002660624,150302,1,0,1,"int12_3","~x1 * x2 + x3",-13.9650441726561,NA,1,0.561880099597672,NA
3,50,"big",0.7071068,0.50000002660624,150303,1,0,1,"null","~1",-3.31843005875939,NA,0,0.771924040454806,NA
4,50,"big",0.7071068,0.50000002660624,150304,6,0,6,"x2","~x2",73.0635374206685,NA,0,0.570283156958674,NA
5,50,"big",0.7071068,0.50000002660624,150305,0,0,0,"int12_3","~x1 * x2 + x3",-15.8631746445959,NA,1,0.903141911664489,NA
6,50,"big",0.7071068,0.50000002660624,150306,0,0,0,"null","~1",-9.55461043981126,NA,0,0.999995669068733,NA
7,50,"big",0.7071068,0.50000002660624,150307,1,0,1,"null","~1",-15.7131577550275,NA,0,0.999523217823276,NA
8,50,"big",0.7071068,0.50000002660624,150308,1,0,1,"null","~1",3.51181195364848,NA,0,0.842563360539344,NA
9,50,"big",0.7071068,0.50000002660624,150309,0,1,1,"int12_3","~x1 * x2 + x3",-12.0059184117763,NA,1,0.915453646568093,NA
10,50,"big",0.7071068,0.50000002660624,150310,0,0,0,"x4","~x4",-14.9230582523956,NA,0,0.89857668013402,NA
11,50,"big",0.7071068,0.50000002660624,150311,2,0,2,"null","~1",16.4371977168326,NA,0,0.765956376105705,NA
12,50,"big",0.7071068,0.50000002660624,150312,1,0,1,"null","~1",2.60059556024949,NA,0,0.990197931143649,NA
13,50,"big",0.7071068,0.50000002660624,150313,1,1,2,"x1","~x1",-11.8372548553087,NA,0,0.923695514459067,NA
14,50,"big",0.7071068,0.50000002660624,150314,1,0,1,"null","~1",-8.74109187244694,NA,0,0.871150287796638,NA
15,50,"big",0.7071068,0.50000002660624,150315,1,0,1,"null","~1",-11.5212517336644,NA,0,0.993570513422523,NA
16,50,"big",0.7071068,0.50000002660624,150316,1,0,1,"null","~1",-5.20886951382385,NA,0,0.995310459415451,NA
17,50,"big",0.7071068,0.50000002660624,150317,0,2,2,"x1","~x1",7.92077467824745,NA,0,0.761928001118073,NA
18,50,"big",0.7071068,0.50000002660624,150318,0,0,0,"null","~1",-5.01926787746785,NA,0,0.861935341330341,NA
19,50,"big",0.7071068,0.50000002660624,150319,1,1,2,"int12_3","~x1 * x2 + x3",6.72530570031056,NA,1,0.821444159741681,NA
20,50,"big",0.7071068,0.50000002660624,150320,2,0,2,"int23_1","~x2 * x3 + x1",10.7689434673699,NA,0,0.810337958982274,NA
21,50,"big",0.7071068,0.50000002660624,150321,1,0,1,"null","~1",-12.5848649604225,NA,0,0.852252771323364,NA
22,50,"big",0.7071068,0.50000002660624,150322,1,0,1,"null","~1",-11.1733799857374,NA,0,0.995967587241637,NA
23,50,"big",0.7071068,0.50000002660624,150323,0,0,0,"null","~1",-17.5607834936628,NA,0,0.999356844556566,NA
24,50,"big",0.7071068,0.50000002660624,150324,1,0,1,"null","~1",-1.57604905262464,NA,0,0.999749601566037,NA
25,50,"big",0.7071068,0.50000002660624,150325,1,0,1,"null","~1",0.0256129352337737,NA,0,0.994544009875762,NA
26,50,"big",0.7071068,0.50000002660624,150326,0,0,0,"null","~1",-17.8452512269366,NA,0,0.999933936169632,NA
27,50,"big",0.7071068,0.50000002660624,150327,0,0,0,"null","~1",-18.2450290145227,NA,0,0.999753771716838,NA
28,50,"big",0.7071068,0.50000002660624,150328,0,0,0,"null","~1",-14.4673857069862,NA,0,0.999917804942858,NA
29,50,"big",0.7071068,0.50000002660624,150329,1,0,1,"null","~1",-5.67047771015187,NA,0,0.82665724015372,NA
30,50,"big",0.7071068,0.50000002660624,150330,1,0,1,"null","~1",-10.9608328499572,NA,0,0.674500169895157,NA
31,50,"big",0.7071068,0.50000002660624,150331,0,0,0,"null","~1",3.95938118759963,NA,0,0.817725714954055,NA
32,50,"big",0.7071068,0.50000002660624,150332,0,0,0,"null","~1",-12.7535931802838,NA,0,0.999765361049329,NA
33,50,"big",0.7071068,0.50000002660624,150333,0,0,0,"x1","~x1",-3.74189166346368,NA,0,0.611860322426726,NA
34,50,"big",0.7071068,0.50000002660624,150334,1,0,1,"null","~1",-11.3590242585488,NA,0,0.999937871735101,NA
35,50,"big",0.7071068,0.50000002660624,150335,1,1,2,"x3","~x3",9.25930253995224,NA,0,0.481727026446855,NA
36,50,"big",0.7071068,0.50000002660624,150336,2,0,2,"int12_3","~x1 * x2 + x3",14.7216673359917,NA,1,0.750828931771585,NA
37,50,"big",0.7071068,0.50000002660624,150337,2,0,2,"null","~1",11.3472652009794,NA,0,0.949913298985972,NA
38,50,"big",0.7071068,0.50000002660624,150338,0,2,2,"int12_3","~x1 * x2 + x3",6.28160216813691,NA,1,0.634901571037141,NA
39,50,"big",0.7071068,0.50000002660624,150339,0,0,0,"null","~1",-16.0806454258838,NA,0,0.99998349675501,NA
40,50,"big",0.7071068,0.50000002660624,150340,4,0,4,"null","~1",36.6189596388415,NA,0,0.599462437230554,NA
41,50,"big",0.7071068,0.50000002660624,150341,0,0,0,"null","~1",-16.3396212393277,NA,0,0.999081114766607,NA
42,50,"big",0.7071068,0.50000002660624,150342,4,0,4,"x1","~x1",28.9684342822219,NA,0,0.659268718258072,NA
43,50,"big",0.7071068,0.50000002660624,150343,3,1,4,"int12_4","~x1 * x2 + x4",30.8801031228323,NA,0,0.525602931774837,NA
44,50,"big",0.7071068,0.50000002660624,150344,0,0,0,"null","~1",-17.9410804139453,NA,0,0.995723251948704,NA
