"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,50,"big",0.7071068,150301,0,1,1,"int12_3","int12_3",1,0.761353756331399
2,50,"big",0.7071068,150302,1,0,1,"int12_3","int12_3",1,0.561880099597672
3,50,"big",0.7071068,150303,1,0,1,"int12_3","null",0,0.771924040454806
4,50,"big",0.7071068,150304,6,0,6,"int12_3","x2",0,0.570283156958674
5,50,"big",0.7071068,150305,0,0,0,"int12_3","int12_3",1,0.903141911664489
6,50,"big",0.7071068,150306,0,0,0,"int12_3","null",0,0.999995669068733
7,50,"big",0.7071068,150307,1,0,1,"int12_3","null",0,0.999523217823276
8,50,"big",0.7071068,150308,1,0,1,"int12_3","null",0,0.842563360539344
9,50,"big",0.7071068,150309,0,1,1,"int12_3","int12_3",1,0.915453646568093
10,50,"big",0.7071068,150310,0,0,0,"int12_3","x4",0,0.89857668013402
11,50,"big",0.7071068,150311,2,0,2,"int12_3","null",0,0.765956376105705
12,50,"big",0.7071068,150312,1,0,1,"int12_3","null",0,0.990197931143649
13,50,"big",0.7071068,150313,1,1,2,"int12_3","x1",0,0.923695514459067
14,50,"big",0.7071068,150314,1,0,1,"int12_3","null",0,0.871150287796638
15,50,"big",0.7071068,150315,1,0,1,"int12_3","null",0,0.993570513422523
16,50,"big",0.7071068,150316,1,0,1,"int12_3","null",0,0.995310459415451
17,50,"big",0.7071068,150317,0,2,2,"int12_3","x1",0,0.761928001118073
18,50,"big",0.7071068,150318,0,0,0,"int12_3","null",0,0.861935341330341
19,50,"big",0.7071068,150319,1,1,2,"int12_3","int12_3",1,0.821444159741681
20,50,"big",0.7071068,150320,2,0,2,"int12_3","int23_1",0,0.810337958982274
21,50,"big",0.7071068,150321,1,0,1,"int12_3","null",0,0.852252771323364
22,50,"big",0.7071068,150322,1,0,1,"int12_3","null",0,0.995967587241637
23,50,"big",0.7071068,150323,0,0,0,"int12_3","null",0,0.999356844556566
24,50,"big",0.7071068,150324,1,0,1,"int12_3","null",0,0.999749601566037
25,50,"big",0.7071068,150325,1,0,1,"int12_3","null",0,0.994544009875762
26,50,"big",0.7071068,150326,0,0,0,"int12_3","null",0,0.999933936169632
27,50,"big",0.7071068,150327,0,0,0,"int12_3","null",0,0.999753771716838
28,50,"big",0.7071068,150328,0,0,0,"int12_3","null",0,0.999917804942858
29,50,"big",0.7071068,150329,1,0,1,"int12_3","null",0,0.82665724015372
30,50,"big",0.7071068,150330,1,0,1,"int12_3","null",0,0.674500169895157
31,50,"big",0.7071068,150331,0,0,0,"int12_3","null",0,0.817725714954055
32,50,"big",0.7071068,150332,0,0,0,"int12_3","null",0,0.999765361049329
33,50,"big",0.7071068,150333,0,0,0,"int12_3","x1",0,0.611860322426726
34,50,"big",0.7071068,150334,1,0,1,"int12_3","null",0,0.999937871735101
35,50,"big",0.7071068,150335,1,1,2,"int12_3","x3",0,0.481727026446855
36,50,"big",0.7071068,150336,2,0,2,"int12_3","int12_3",1,0.750828931771585
37,50,"big",0.7071068,150337,2,0,2,"int12_3","null",0,0.949913298985972
38,50,"big",0.7071068,150338,0,2,2,"int12_3","int12_3",1,0.634901571037141
39,50,"big",0.7071068,150339,0,0,0,"int12_3","null",0,0.99998349675501
40,50,"big",0.7071068,150340,4,0,4,"int12_3","null",0,0.599462437230554
41,50,"big",0.7071068,150341,0,0,0,"int12_3","null",0,0.999081114766607
42,50,"big",0.7071068,150342,4,0,4,"int12_3","x1",0,0.659268718258072
43,50,"big",0.7071068,150343,3,1,4,"int12_3","int12_4",0,0.525602931774837
44,50,"big",0.7071068,150344,0,0,0,"int12_3","null",0,0.995723251948704
45,50,"big",0.7071068,150345,0,1,1,"int12_3","int12_3",1,0.941005342233581
46,50,"big",0.7071068,150346,2,0,2,"int12_3","int12_4",0,0.604582701744858
47,50,"big",0.7071068,150347,0,0,0,"int12_3","x2",0,0.684414821693426
48,50,"big",0.7071068,150348,2,0,2,"int12_3","x1",0,0.978710692913685
49,50,"big",0.7071068,150349,0,0,0,"int12_3","null",0,0.999977491709927
50,50,"big",0.7071068,150350,2,0,2,"int12_3","int12_3",1,0.660149752165222
