"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,50,"medium",0.4472136,0.20000000402496,150201,0,0,0,"null","~1",-12.7815253456577,NA,0,0.999968734390237,NA
2,50,"medium",0.4472136,0.20000000402496,150202,0,0,0,"int12_3","~x1 * x2 + x3",-13.8877158033642,NA,1,0.988843533578502,NA
3,50,"medium",0.4472136,0.20000000402496,150203,0,0,0,"null","~1",-17.5670315260977,NA,0,0.999971643562423,NA
4,50,"medium",0.4472136,0.20000000402496,150204,0,0,0,"null","~1",-16.1765638978395,NA,0,0.999607480853214,NA
5,50,"medium",0.4472136,0.20000000402496,150205,0,1,1,"null","~1",-17.9663951435813,NA,0,0.982543147465621,NA
6,50,"medium",0.4472136,0.20000000402496,150206,0,1,1,"null","~1",-4.24966242931805,NA,0,0.868072256067178,NA
7,50,"medium",0.4472136,0.20000000402496,150207,0,0,0,"null","~1",-15.0513114640414,NA,0,0.999924471418256,NA
8,50,"medium",0.4472136,0.20000000402496,150208,2,0,2,"x1","~x1",6.18433570211548,NA,0,0.953714728464075,NA
9,50,"medium",0.4472136,0.20000000402496,150209,0,0,0,"int12_3","~x1 * x2 + x3",-8.06341192074559,NA,1,0.984793166692419,NA
10,50,"medium",0.4472136,0.20000000402496,150210,1,1,2,"null","~1",-2.24072585220648,NA,0,0.998453163034606,NA
11,50,"medium",0.4472136,0.20000000402496,150211,2,0,2,"x1","~x1",1.68560813171076,NA,0,0.998683864231294,NA
12,50,"medium",0.4472136,0.20000000402496,150212,1,0,1,"x3","~x3",-4.82465557776537,NA,0,0.952785227641433,NA
13,50,"medium",0.4472136,0.20000000402496,150213,0,0,0,"int12_3","~x1 * x2 + x3",-17.3961176170798,NA,1,0.510040246100732,NA
14,50,"medium",0.4472136,0.20000000402496,150214,1,0,1,"null","~1",-15.5871199317355,NA,0,0.99948662751484,NA
15,50,"medium",0.4472136,0.20000000402496,150215,1,0,1,"x1","~x1",-1.33602292466633,NA,0,0.903318364221223,NA
16,50,"medium",0.4472136,0.20000000402496,150216,1,0,1,"x1","~x1",-0.813729079923906,NA,0,0.624165101691941,NA
17,50,"medium",0.4472136,0.20000000402496,150217,0,1,1,"int12_3","~x1 * x2 + x3",-5.13608836179118,NA,1,0.983093775882024,NA
18,50,"medium",0.4472136,0.20000000402496,150218,0,0,0,"null","~1",-17.282745254989,NA,0,0.999997210152587,NA
19,50,"medium",0.4472136,0.20000000402496,150219,1,0,1,"null","~1",-12.8335224243139,NA,0,0.999918536873241,NA
20,50,"medium",0.4472136,0.20000000402496,150220,0,0,0,"null","~1",-16.6168108055294,NA,0,0.999987390383359,NA
21,50,"medium",0.4472136,0.20000000402496,150221,0,1,1,"int12_3","~x1 * x2 + x3",1.45862119818609,NA,1,0.913922781027649,NA
22,50,"medium",0.4472136,0.20000000402496,150222,1,0,1,"null","~1",-6.75596605894042,NA,0,0.998769797913534,NA
23,50,"medium",0.4472136,0.20000000402496,150223,0,0,0,"null","~1",-14.0146677874817,NA,0,0.999841118556581,NA
24,50,"medium",0.4472136,0.20000000402496,150224,0,0,0,"null","~1",-9.67692074396685,NA,0,0.999433972853556,NA
25,50,"medium",0.4472136,0.20000000402496,150225,1,0,1,"x1","~x1",-12.2670448019723,NA,0,0.993494224602777,NA
26,50,"medium",0.4472136,0.20000000402496,150226,0,0,0,"null","~1",-13.6635068585564,NA,0,0.999996530368507,NA
27,50,"medium",0.4472136,0.20000000402496,150227,1,0,1,"int12_3","~x1 * x2 + x3",-5.0372838521511,NA,1,0.999761528017377,NA
28,50,"medium",0.4472136,0.20000000402496,150228,0,0,0,"null","~1",-9.1714302733138,NA,0,0.999988464962606,NA
