"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"null",-12.7815253456577,0.999968734390237,1,50,"medium",0.4472136,150201,"int12_3","null",0
"x2",-23.2041053353027,2.97520876375569e-05,1,50,"medium",0.4472136,150201,"int12_3","null",0
"x1",-26.5471961745139,1.05106975835649e-06,1,50,"medium",0.4472136,150201,"int12_3","null",0
"x3",-27.6801992120023,3.38512393439942e-07,1,50,"medium",0.4472136,150201,"int12_3","null",0
"x4",-28.6849625553864,1.23939973177543e-07,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int12_3",-49.2953639576175,1.38748341005012e-16,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int12_4",-51.448431878323,1.61124759418588e-17,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int23_1",-56.4541742318182,1.0794337678575e-19,1,50,"medium",0.4472136,150201,"int12_3","null",0
"main",-56.4698958144353,1.06259606517401e-19,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int13_2",-56.4702119451673,1.06226019899363e-19,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int14_2",-58.7503634189988,1.08635985024311e-20,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int24_1",-58.9568332247642,8.83700313831973e-21,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int12",-64.7207546093596,2.77374005278967e-23,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int34_2",-68.0923067806021,9.52399709692833e-25,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int23_4",-68.4974415876404,6.35142893529617e-25,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int24_3",-68.9135503163678,4.18945681892558e-25,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int34",-71.1011063888037,4.70017672277986e-26,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int34_1",-71.4168187920996,3.42769390892942e-26,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int24",-71.78597833112,2.36961659141178e-26,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int14",-72.0107750163329,1.8925620272156e-26,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int23",-72.1908505242856,1.5806813260643e-26,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int13",-72.2065302572588,1.55608996179026e-26,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int14_3",-72.3063189723738,1.40830594558565e-26,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int13_4",-72.3286981905704,1.37713920395502e-26,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int124_3",-110.751596289181,2.8322084805129e-43,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int123_4",-110.850494562725,2.56551314611225e-43,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int234_1",-116.967782720426,5.65548367751341e-46,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int134_2",-117.652982895253,2.85030344924611e-46,1,50,"medium",0.4472136,150201,"int12_3","null",0
"full",-218.033446845858,7.24785529095571e-90,1,50,"medium",0.4472136,150201,"int12_3","null",0
"int12_3",-13.8877158033642,0.988843533578502,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"null",-18.5115407261397,0.0097056791118717,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int13_2",-20.8731006738984,0.000914983947000235,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"main",-21.9852419596596,0.000300896163989468,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int12",-22.2401074773768,0.000233200760910638,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"x1",-27.8352674581742,8.66528513873628e-07,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int24",-29.1004160500046,2.44532059675337e-07,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int14",-29.1859925348597,2.24476256271915e-07,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int13",-29.2664437569842,2.07124221420483e-07,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int34",-29.9391243974724,1.05703507542681e-07,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"x2",-30.5946684258791,5.48769852194608e-08,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"x4",-33.8681891094404,2.07834803517402e-09,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"x3",-34.488379287738,1.11782315898643e-09,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
"int124_3",-46.6960567914064,5.58015325069253e-15,2,50,"medium",0.4472136,150202,"int12_3","int12_3",1
