"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,50,"medium",0.4472136,150201,0,0,0,"int12_3","null",0,0.999968734390237
2,50,"medium",0.4472136,150202,0,0,0,"int12_3","int12_3",1,0.988843533578502
3,50,"medium",0.4472136,150203,0,0,0,"int12_3","null",0,0.999971643562423
4,50,"medium",0.4472136,150204,0,0,0,"int12_3","null",0,0.999607480853214
5,50,"medium",0.4472136,150205,0,1,1,"int12_3","null",0,0.982543147465621
6,50,"medium",0.4472136,150206,0,1,1,"int12_3","null",0,0.868072256067178
7,50,"medium",0.4472136,150207,0,0,0,"int12_3","null",0,0.999924471418256
8,50,"medium",0.4472136,150208,2,0,2,"int12_3","x1",0,0.953714728464075
9,50,"medium",0.4472136,150209,0,0,0,"int12_3","int12_3",1,0.984793166692419
10,50,"medium",0.4472136,150210,1,1,2,"int12_3","null",0,0.998453163034606
11,50,"medium",0.4472136,150211,2,0,2,"int12_3","x1",0,0.998683864231294
12,50,"medium",0.4472136,150212,1,0,1,"int12_3","x3",0,0.952785227641433
13,50,"medium",0.4472136,150213,0,0,0,"int12_3","int12_3",1,0.510040246100732
14,50,"medium",0.4472136,150214,1,0,1,"int12_3","null",0,0.99948662751484
15,50,"medium",0.4472136,150215,1,0,1,"int12_3","x1",0,0.903318364221223
16,50,"medium",0.4472136,150216,1,0,1,"int12_3","x1",0,0.624165101691941
17,50,"medium",0.4472136,150217,0,1,1,"int12_3","int12_3",1,0.983093775882024
18,50,"medium",0.4472136,150218,0,0,0,"int12_3","null",0,0.999997210152587
19,50,"medium",0.4472136,150219,1,0,1,"int12_3","null",0,0.999918536873241
20,50,"medium",0.4472136,150220,0,0,0,"int12_3","null",0,0.999987390383359
21,50,"medium",0.4472136,150221,0,1,1,"int12_3","int12_3",1,0.913922781027649
22,50,"medium",0.4472136,150222,1,0,1,"int12_3","null",0,0.998769797913534
23,50,"medium",0.4472136,150223,0,0,0,"int12_3","null",0,0.999841118556581
24,50,"medium",0.4472136,150224,0,0,0,"int12_3","null",0,0.999433972853556
25,50,"medium",0.4472136,150225,1,0,1,"int12_3","x1",0,0.993494224602777
26,50,"medium",0.4472136,150226,0,0,0,"int12_3","null",0,0.999996530368507
27,50,"medium",0.4472136,150227,1,0,1,"int12_3","int12_3",1,0.999761528017377
28,50,"medium",0.4472136,150228,0,0,0,"int12_3","null",0,0.999988464962606
29,50,"medium",0.4472136,150229,0,0,0,"int12_3","null",0,0.998675028245858
30,50,"medium",0.4472136,150230,0,0,0,"int12_3","null",0,0.999922448888209
31,50,"medium",0.4472136,150231,0,0,0,"int12_3","null",0,0.999981709304375
32,50,"medium",0.4472136,150232,2,0,2,"int12_3","x1",0,0.992950848646337
33,50,"medium",0.4472136,150233,0,0,0,"int12_3","null",0,0.999946778503288
34,50,"medium",0.4472136,150234,0,0,0,"int12_3","null",0,0.830710947105378
35,50,"medium",0.4472136,150235,0,0,0,"int12_3","null",0,0.999988529938848
36,50,"medium",0.4472136,150236,1,0,1,"int12_3","null",0,0.999926878621314
37,50,"medium",0.4472136,150237,0,0,0,"int12_3","null",0,0.999785680321134
38,50,"medium",0.4472136,150238,1,0,1,"int12_3","null",0,0.908094252731384
39,50,"medium",0.4472136,150239,1,0,1,"int12_3","null",0,0.951982989026274
40,50,"medium",0.4472136,150240,2,0,2,"int12_3","x1",0,0.929429923160313
41,50,"medium",0.4472136,150241,0,0,0,"int12_3","null",0,0.999957498045782
42,50,"medium",0.4472136,150242,1,0,1,"int12_3","x1",0,0.991201153333757
43,50,"medium",0.4472136,150243,1,0,1,"int12_3","null",0,0.999196369037064
44,50,"medium",0.4472136,150244,2,0,2,"int12_3","null",0,0.998526513632163
45,50,"medium",0.4472136,150245,1,0,1,"int12_3","int12_3",1,0.999449549086357
46,50,"medium",0.4472136,150246,0,0,0,"int12_3","null",0,0.999969312322259
47,50,"medium",0.4472136,150247,0,0,0,"int12_3","null",0,0.991141800259116
48,50,"medium",0.4472136,150248,1,0,1,"int12_3","null",0,0.999914724296231
49,50,"medium",0.4472136,150249,0,0,0,"int12_3","null",0,0.999511588773531
50,50,"medium",0.4472136,150250,1,0,1,"int12_3","x1",0,0.996228404656359
