"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,50,"small",0.1,0.01,150101,0,0,0,"null","~1",-14.3748713349351,NA,0,0.999994834713627,NA
2,50,"small",0.1,0.01,150102,0,0,0,"null","~1",-13.051528586612,NA,0,0.99999840001816,NA
3,50,"small",0.1,0.01,150103,1,0,1,"null","~1",-5.16934433414196,NA,0,0.998825422325652,NA
4,50,"small",0.1,0.01,150104,2,0,2,"null","~1",10.456979073426,NA,0,0.999066171861537,NA
5,50,"small",0.1,0.01,150105,0,0,0,"null","~1",-12.6124139234416,NA,0,0.999997499926504,NA
6,50,"small",0.1,0.01,150106,0,0,0,"null","~1",-18.4023890976984,NA,0,0.99581526157405,NA
7,50,"small",0.1,0.01,150107,1,0,1,"null","~1",-19.0249239909957,NA,0,0.999210859302691,NA
8,50,"small",0.1,0.01,150108,2,1,3,"x1","~x1",1.97782266118463,NA,0,0.982756797906571,NA
9,50,"small",0.1,0.01,150109,1,0,1,"null","~1",-18.3741177666478,NA,0,0.999434773792163,NA
10,50,"small",0.1,0.01,150110,0,0,0,"null","~1",-16.9063094671701,NA,0,0.999748529459039,NA
11,50,"small",0.1,0.01,150111,0,0,0,"null","~1",-15.2329948656604,NA,0,0.999619837005292,NA
12,50,"small",0.1,0.01,150112,1,0,1,"x1","~x1",-16.1443994192603,NA,0,0.543239968152319,NA
13,50,"small",0.1,0.01,150113,0,0,0,"null","~1",-15.7092835344649,NA,0,0.999977007801304,NA
14,50,"small",0.1,0.01,150114,0,0,0,"null","~1",-16.6271328234392,NA,0,0.99999548476467,NA
15,50,"small",0.1,0.01,150115,1,0,1,"int12_3","~x1 * x2 + x3",-1.38222316934996,NA,1,0.998942945451098,NA
16,50,"small",0.1,0.01,150116,0,0,0,"null","~1",-13.0381784387071,NA,0,0.999993562848464,NA
17,50,"small",0.1,0.01,150117,0,0,0,"null","~1",-17.2751518781162,NA,0,0.988362301090059,NA
18,50,"small",0.1,0.01,150118,0,0,0,"null","~1",-16.3966125065892,NA,0,0.999993760968162,NA
19,50,"small",0.1,0.01,150119,0,0,0,"null","~1",-13.6945783149943,NA,0,0.999963518068567,NA
20,50,"small",0.1,0.01,150120,0,1,1,"null","~1",-21.3309736421349,NA,0,0.890996142011559,NA
21,50,"small",0.1,0.01,150121,1,0,1,"null","~1",-19.2025725196017,NA,0,0.999963760245935,NA
22,50,"small",0.1,0.01,150122,2,0,2,"null","~1",-10.8894411237945,NA,0,0.998779656044218,NA
23,50,"small",0.1,0.01,150123,0,0,0,"null","~1",-15.6538528968992,NA,0,0.999953902593425,NA
24,50,"small",0.1,0.01,150124,0,0,0,"null","~1",-17.6969535071875,NA,0,0.999781816260109,NA
25,50,"small",0.1,0.01,150125,0,0,0,"null","~1",-15.1820742791347,NA,0,0.999908607851584,NA
26,50,"small",0.1,0.01,150126,1,0,1,"x1","~x1",-11.2182699663214,NA,0,0.999379030808562,NA
27,50,"small",0.1,0.01,150127,1,0,1,"null","~1",-20.0812173409143,NA,0,0.957919577623504,NA
28,50,"small",0.1,0.01,150128,0,0,0,"null","~1",-18.1758997341385,NA,0,0.956524782638624,NA
29,50,"small",0.1,0.01,150129,1,0,1,"null","~1",-18.2216095434544,NA,0,0.975657793244258,NA
30,50,"small",0.1,0.01,150130,2,0,2,"x1","~x1",-7.45814323155054,NA,0,0.780753376792084,NA
31,50,"small",0.1,0.01,150131,0,0,0,"null","~1",-18.8590524758428,NA,0,0.999963841228893,NA
32,50,"small",0.1,0.01,150132,1,1,2,"null","~1",-1.06857539127581,NA,0,0.997034283109309,NA
33,50,"small",0.1,0.01,150133,0,1,1,"null","~1",-20.4243129372497,NA,0,0.948064510831386,NA
34,50,"small",0.1,0.01,150134,0,0,0,"null","~1",-18.7353731406128,NA,0,0.999987827979337,NA
35,50,"small",0.1,0.01,150135,0,0,0,"null","~1",-16.9221191148781,NA,0,0.6741155723151,NA
36,50,"small",0.1,0.01,150136,2,0,2,"null","~1",-9.63614270452619,NA,0,0.999972157639869,NA
37,50,"small",0.1,0.01,150137,0,0,0,"null","~1",-12.5153249504896,NA,0,0.999985317744572,NA
38,50,"small",0.1,0.01,150138,1,0,1,"null","~1",-16.7234151231071,NA,0,0.970402096989938,NA
39,50,"small",0.1,0.01,150139,1,1,2,"x2","~x2",-11.6727430127885,NA,0,0.962069551327347,NA
40,50,"small",0.1,0.01,150140,1,0,1,"null","~1",-14.4094570347083,NA,0,0.999705263657911,NA
41,50,"small",0.1,0.01,150141,1,0,1,"null","~1",-19.779104128323,NA,0,0.99998562740865,NA
42,50,"small",0.1,0.01,150142,1,0,1,"null","~1",-16.3716944779237,NA,0,0.752526494988002,NA
43,50,"small",0.1,0.01,150143,0,0,0,"null","~1",-17.7821957407672,NA,0,0.99984807625433,NA
44,50,"small",0.1,0.01,150144,2,0,2,"null","~1",-13.8046064313911,NA,0,0.999927750604968,NA
45,50,"small",0.1,0.01,150145,0,0,0,"null","~1",-17.0388579863897,NA,0,0.999311792015017,NA
46,50,"small",0.1,0.01,150146,1,0,1,"null","~1",-0.399681573680793,NA,0,0.766080651068027,NA
47,50,"small",0.1,0.01,150147,0,0,0,"null","~1",-20.3634749279234,NA,0,0.999998400402394,NA
48,50,"small",0.1,0.01,150148,1,1,2,"null","~1",-13.787286448548,NA,0,0.986619880923414,NA
49,50,"small",0.1,0.01,150149,1,1,2,"x1","~x1",-15.9784473111161,NA,0,0.7796206859925,NA
50,50,"small",0.1,0.01,150150,1,0,1,"null","~1",-18.019870737412,NA,0,0.999995070320785,NA
