"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int12_3",495.223483605299,0.999935059872169,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int12",485.581503724681,6.49401278302931e-05,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int123_4",459.02612655026,1.90396678360074e-16,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int124_3",458.034091131854,7.06031144967274e-17,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int12_4",452.421911041948,2.57919996896878e-19,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"full",399.88128921818,3.92087395396764e-42,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int23_1",384.832517223748,1.14231069902421e-48,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int13_2",383.68833986365,3.63809747324519e-49,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"main",382.886299946927,1.63137131080312e-49,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int23",375.487300772762,9.98178721460666e-53,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int34",374.456338293614,3.56013930516332e-53,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int13",374.282495254155,2.99204360928861e-53,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int24",373.831308204103,1.90554791234131e-53,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int14",373.413872103578,1.25524840431894e-53,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int14_2",350.691888538003,1.70097369539138e-63,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int24_1",350.413119489404,1.2871517100494e-63,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int234_1",349.507639946391,5.20457137760757e-64,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int134_2",348.259410764548,1.4937775329544e-64,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"x1",315.483921037009,8.71107178908762e-79,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int13_4",314.049179025243,2.07477522857448e-79,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int34_1",312.353853957064,3.80803325206897e-80,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int14_3",311.960552595403,2.56975737385617e-80,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"x3",257.935449818345,8.85295181821555e-104,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"null",249.624227738723,2.17555573348002e-107,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"x2",247.296337464143,2.1211936230092e-108,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"x4",240.335133388474,2.01079499400136e-111,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int34_2",238.997522143201,5.27777185238861e-112,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int24_3",238.805106224237,4.35397008473542e-112,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int23_4",238.033335342946,2.01237820805621e-112,33,500,"big",0.7071068,600333,"int12_3","int12_3",1
"int12_3",334.402390730811,0.999935171551132,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"int12",324.758689536144,6.48284488675086e-05,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"int124_3",298.974327821014,4.10922212891427e-16,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"int123_4",298.572773833845,2.75021684250278e-16,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"int12_4",295.802368756628,1.72264306345934e-17,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
"full",237.122430947422,5.64705621116591e-43,34,500,"big",0.7071068,600334,"int12_3","int12_3",1
