"model","log_marginal","post_prob"
"int12_3",355.283610209807,0.999932468403367
"int12",345.680762772335,6.75315966325907e-05
"int124_3",317.656310328476,4.55661109218276e-17
"int123_4",317.034549554751,2.44689137397607e-17
"int12_4",313.931100369796,1.09850954288941e-18
"full",254.818018228523,2.33516972670943e-44
"int23_1",239.713685494399,6.43561555239814e-51
"int13_2",239.610189685814,5.80286455734509e-51
"main",239.180411003206,3.77565169492345e-51
"int34",230.574739977494,6.91188468793437e-55
"int23",230.102332397081,4.30955550656493e-55
"int13",229.945496490999,3.68399905540141e-55
"int14_2",208.706557277348,2.19970989395005e-64
"int24_1",208.234636159807,1.37218501081062e-64
"int14",148.40660732533,1.42701942533392e-90
"int24",147.127733050109,3.9721152798367e-91
"int234_1",101.359188791815,5.27224553999865e-111
"int134_2",100.432594460612,2.0872805349695e-111
"x1",85.1350741584019,4.74189757567071e-118
"int14_3",65.4249661203143,1.30605362941272e-126
"int13_4",64.5783477485542,5.60117734103238e-127
"int34_1",64.2897988925982,4.19724332731655e-127
"x2",36.2557515870994,2.80499503687417e-139
"x3",33.7656261869298,2.32532883259368e-140
"null",30.5543651376516,9.37241311258646e-142
"x4",14.3823489069492,8.88043035630859e-149
"int34_2",10.4207219283616,1.69013453755036e-150
"int23_4",7.72439775845851,1.14004650664324e-151
"int24_3",7.64312706468684,1.05105914270456e-151
