"model","log_marginal","post_prob"
"int12_3",352.246583315859,0.999999888061032
"int12",336.241271380618,1.11938967504155e-07
"int12_4",311.352287093451,1.73713176042e-18
"int123_4",289.77565808446,7.39983172802057e-28
"int124_3",288.353534977482,1.78484959917565e-28
"full",182.247493908976,1.48024462715774e-74
"int23_1",179.75172715302,1.22021332470533e-75
"int13_2",179.031904398452,5.94046871316157e-76
"main",178.681584592124,4.18483899749267e-76
"int14",167.752553022773,7.50344409266726e-81
"int24",165.955808509609,1.24435536204081e-81
"int23",163.693613129173,1.29564329782454e-82
"int34",163.18847946103,7.81823442129944e-83
"int13",162.88038183849,5.74517934961875e-83
"int24_1",155.330551044766,3.0231085235921e-86
"int14_2",152.741747146189,2.27065153213453e-87
"int134_2",126.995600973768,1.49534456625463e-98
"int234_1",120.819460019558,3.10797374264943e-101
"x1",89.1105847878,5.26608422109157e-115
"x2",68.2064327758463,4.39470707498158e-124
"int34_1",65.9360380353942,4.53847581379562e-125
"int14_3",61.9730301353366,8.62576381952904e-127
"int13_4",60.5882770888422,2.15976727165702e-127
"null",43.844685647573,1.15546710366609e-134
"x3",42.2148322885961,2.26423378060424e-135
"int34_2",37.0282694395896,1.26597648838769e-137
"int23_4",35.5400706307584,2.85830855670624e-138
"int24_3",34.8738968220118,1.46822799399219e-138
"x4",27.6212267175594,1.03991751959005e-141
