"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,100,"big",0.7071068,0.50000002660624,200301,4,0,4,"int12_3","~x1 * x2 + x3",54.8319861641778,NA,1,0.992638067071539,NA
2,100,"big",0.7071068,0.50000002660624,200302,1,3,4,"int12_3","~x1 * x2 + x3",67.8610796712143,NA,1,0.928942214039969,NA
3,100,"big",0.7071068,0.50000002660624,200303,1,1,2,"int12_3","~x1 * x2 + x3",32.0663277845946,NA,1,0.998678257322908,NA
4,100,"big",0.7071068,0.50000002660624,200304,2,0,2,"int12_3","~x1 * x2 + x3",37.9424863388874,NA,1,0.983604456655572,NA
5,100,"big",0.7071068,0.50000002660624,200305,2,0,2,"int12_3","~x1 * x2 + x3",35.5372497667278,NA,1,0.996080588575665,NA
6,100,"big",0.7071068,0.50000002660624,200306,2,0,2,"int12_3","~x1 * x2 + x3",50.895825345236,NA,1,0.994155704344604,NA
7,100,"big",0.7071068,0.50000002660624,200307,1,0,1,"int12_3","~x1 * x2 + x3",22.468517915775,NA,1,0.999740176877635,NA
8,100,"big",0.7071068,0.50000002660624,200308,3,0,3,"null","~1",34.5383421290287,NA,0,0.993095439565252,NA
9,100,"big",0.7071068,0.50000002660624,200309,7,2,9,"int12_3","~x1 * x2 + x3",119.512952130258,NA,1,0.993841386193595,NA
10,100,"big",0.7071068,0.50000002660624,200310,4,1,5,"int12_3","~x1 * x2 + x3",72.8087487884619,NA,1,0.997694183286295,NA
11,100,"big",0.7071068,0.50000002660624,200311,1,0,1,"int12_3","~x1 * x2 + x3",30.8525857653751,NA,1,0.999355880992568,NA
12,100,"big",0.7071068,0.50000002660624,200312,1,0,1,"int12_3","~x1 * x2 + x3",11.3570315192271,NA,1,0.999710082544245,NA
13,100,"big",0.7071068,0.50000002660624,200313,6,0,6,"int12_3","~x1 * x2 + x3",94.6742453445732,NA,1,0.9713187065738,NA
14,100,"big",0.7071068,0.50000002660624,200314,3,0,3,"int12_3","~x1 * x2 + x3",55.6193774504125,NA,1,0.999749910773443,NA
15,100,"big",0.7071068,0.50000002660624,200315,4,1,5,"int12_3","~x1 * x2 + x3",65.392693896809,NA,1,0.991106819891865,NA
16,100,"big",0.7071068,0.50000002660624,200316,1,0,1,"int12_3","~x1 * x2 + x3",26.6132069078256,NA,1,0.999386805321156,NA
17,100,"big",0.7071068,0.50000002660624,200317,1,2,3,"int12_3","~x1 * x2 + x3",45.6135939531523,NA,1,0.782937364157748,NA
18,100,"big",0.7071068,0.50000002660624,200318,2,2,4,"int12_3","~x1 * x2 + x3",51.4292004781277,NA,1,0.968676036949409,NA
19,100,"big",0.7071068,0.50000002660624,200319,1,1,2,"int12_3","~x1 * x2 + x3",26.4125396523261,NA,1,0.996866459065738,NA
20,100,"big",0.7071068,0.50000002660624,200320,1,0,1,"null","~1",9.45863731465631,NA,0,0.833238619906026,NA
21,100,"big",0.7071068,0.50000002660624,200321,2,0,2,"x1","~x1",24.5652069767117,NA,0,0.997595913248267,NA
22,100,"big",0.7071068,0.50000002660624,200322,1,2,3,"int12_3","~x1 * x2 + x3",46.9603516336887,NA,1,0.839338133337147,NA
23,100,"big",0.7071068,0.50000002660624,200323,3,0,3,"int12_4","~x1 * x2 + x4",45.7121729753921,NA,0,0.843751065058491,NA
24,100,"big",0.7071068,0.50000002660624,200324,2,0,2,"int12_3","~x1 * x2 + x3",34.1790224871843,NA,1,0.998539676567119,NA
25,100,"big",0.7071068,0.50000002660624,200325,1,2,3,"int12_3","~x1 * x2 + x3",31.3147195675308,NA,1,0.998101804404754,NA
26,100,"big",0.7071068,0.50000002660624,200326,2,2,4,"int12_3","~x1 * x2 + x3",57.087102344042,NA,1,0.990227230854565,NA
27,100,"big",0.7071068,0.50000002660624,200327,2,0,2,"int12_3","~x1 * x2 + x3",16.1947027526918,NA,1,0.999543211263371,NA
28,100,"big",0.7071068,0.50000002660624,200328,2,1,3,"int12_3","~x1 * x2 + x3",33.4727203319671,NA,1,0.999436289146999,NA
29,100,"big",0.7071068,0.50000002660624,200329,2,0,2,"int12_3","~x1 * x2 + x3",35.5478189542049,NA,1,0.999836601017297,NA
30,100,"big",0.7071068,0.50000002660624,200330,0,1,1,"int12_3","~x1 * x2 + x3",15.2188829665434,NA,1,0.999829487067172,NA
31,100,"big",0.7071068,0.50000002660624,200331,3,0,3,"int12_3","~x1 * x2 + x3",50.9175940369089,NA,1,0.999858567405481,NA
32,100,"big",0.7071068,0.50000002660624,200332,4,0,4,"int12_3","~x1 * x2 + x3",65.1992794148177,NA,1,0.998596590003585,NA
33,100,"big",0.7071068,0.50000002660624,200333,5,0,5,"int12_3","~x1 * x2 + x3",75.7239257171548,NA,1,0.996573682775505,NA
34,100,"big",0.7071068,0.50000002660624,200334,1,0,1,"int34","~x3 * x4 + x1 + x2",-1.55219900828764,NA,0,0.83077546522314,NA
35,100,"big",0.7071068,0.50000002660624,200335,2,0,2,"int12_3","~x1 * x2 + x3",26.4298255857583,NA,1,0.999762330321675,NA
36,100,"big",0.7071068,0.50000002660624,200336,3,2,5,"int12_4","~x1 * x2 + x4",66.3041054350881,NA,0,0.596732683247486,NA
37,100,"big",0.7071068,0.50000002660624,200337,2,1,3,"int12_3","~x1 * x2 + x3",44.5616122672459,NA,1,0.991543361336654,NA
38,100,"big",0.7071068,0.50000002660624,200338,5,2,7,"int12_3","~x1 * x2 + x3",104.944339612634,NA,1,0.909910856061775,NA
39,100,"big",0.7071068,0.50000002660624,200339,2,0,2,"null","~1",33.2450966907918,NA,0,0.772905933527569,NA
40,100,"big",0.7071068,0.50000002660624,200340,2,0,2,"int12_3","~x1 * x2 + x3",35.4245216584465,NA,1,0.878293983822905,NA
41,100,"big",0.7071068,0.50000002660624,200341,3,1,4,"int12_3","~x1 * x2 + x3",66.8136999078955,NA,1,0.999792375874307,NA
42,100,"big",0.7071068,0.50000002660624,200342,2,1,3,"int12_3","~x1 * x2 + x3",0.585852323350792,NA,1,0.860222121245077,NA
43,100,"big",0.7071068,0.50000002660624,200343,1,0,1,"int12_3","~x1 * x2 + x3",30.381465176648,NA,1,0.993739289163675,NA
44,100,"big",0.7071068,0.50000002660624,200344,1,3,4,"int12_3","~x1 * x2 + x3",45.3903740682251,NA,1,0.984440872503165,NA
45,100,"big",0.7071068,0.50000002660624,200345,1,0,1,"int12_3","~x1 * x2 + x3",18.8680801659844,NA,1,0.887036138274838,NA
46,100,"big",0.7071068,0.50000002660624,200346,3,0,3,"int12_3","~x1 * x2 + x3",50.7849283585723,NA,1,0.929839507352842,NA
47,100,"big",0.7071068,0.50000002660624,200347,4,1,5,"int12_4","~x1 * x2 + x4",65.5744215216404,NA,0,0.571298865826729,NA
48,100,"big",0.7071068,0.50000002660624,200348,3,0,3,"int12_3","~x1 * x2 + x3",54.1661520555625,NA,1,0.999865605963769,NA
49,100,"big",0.7071068,0.50000002660624,200349,0,1,1,"int12_3","~x1 * x2 + x3",14.0359923722161,NA,1,0.999772511733819,NA
50,100,"big",0.7071068,0.50000002660624,200350,0,4,4,"int12_3","~x1 * x2 + x3",56.8332928591332,NA,1,0.999357645493354,NA
