"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,100,"big",0.7071068,200301,4,0,4,"int12_3","int12_3",1,0.992638067071539
2,100,"big",0.7071068,200302,1,3,4,"int12_3","int12_3",1,0.928942214039969
3,100,"big",0.7071068,200303,1,1,2,"int12_3","int12_3",1,0.998678257322908
4,100,"big",0.7071068,200304,2,0,2,"int12_3","int12_3",1,0.983604456655572
5,100,"big",0.7071068,200305,2,0,2,"int12_3","int12_3",1,0.996080588575665
6,100,"big",0.7071068,200306,2,0,2,"int12_3","int12_3",1,0.994155704344604
7,100,"big",0.7071068,200307,1,0,1,"int12_3","int12_3",1,0.999740176877635
8,100,"big",0.7071068,200308,3,0,3,"int12_3","null",0,0.993095439565252
9,100,"big",0.7071068,200309,7,2,9,"int12_3","int12_3",1,0.993841386193595
10,100,"big",0.7071068,200310,4,1,5,"int12_3","int12_3",1,0.997694183286295
11,100,"big",0.7071068,200311,1,0,1,"int12_3","int12_3",1,0.999355880992568
12,100,"big",0.7071068,200312,1,0,1,"int12_3","int12_3",1,0.999710082544245
13,100,"big",0.7071068,200313,6,0,6,"int12_3","int12_3",1,0.9713187065738
14,100,"big",0.7071068,200314,3,0,3,"int12_3","int12_3",1,0.999749910773443
15,100,"big",0.7071068,200315,4,1,5,"int12_3","int12_3",1,0.991106819891865
16,100,"big",0.7071068,200316,1,0,1,"int12_3","int12_3",1,0.999386805321156
17,100,"big",0.7071068,200317,1,2,3,"int12_3","int12_3",1,0.782937364157748
18,100,"big",0.7071068,200318,2,2,4,"int12_3","int12_3",1,0.968676036949409
19,100,"big",0.7071068,200319,1,1,2,"int12_3","int12_3",1,0.996866459065738
20,100,"big",0.7071068,200320,1,0,1,"int12_3","null",0,0.833238619906026
21,100,"big",0.7071068,200321,2,0,2,"int12_3","x1",0,0.997595913248267
22,100,"big",0.7071068,200322,1,2,3,"int12_3","int12_3",1,0.839338133337147
23,100,"big",0.7071068,200323,3,0,3,"int12_3","int12_4",0,0.843751065058491
24,100,"big",0.7071068,200324,2,0,2,"int12_3","int12_3",1,0.998539676567119
25,100,"big",0.7071068,200325,1,2,3,"int12_3","int12_3",1,0.998101804404754
26,100,"big",0.7071068,200326,2,2,4,"int12_3","int12_3",1,0.990227230854565
27,100,"big",0.7071068,200327,2,0,2,"int12_3","int12_3",1,0.999543211263371
28,100,"big",0.7071068,200328,2,1,3,"int12_3","int12_3",1,0.999436289146999
29,100,"big",0.7071068,200329,2,0,2,"int12_3","int12_3",1,0.999836601017297
30,100,"big",0.7071068,200330,0,1,1,"int12_3","int12_3",1,0.999829487067172
31,100,"big",0.7071068,200331,3,0,3,"int12_3","int12_3",1,0.999858567405481
32,100,"big",0.7071068,200332,4,0,4,"int12_3","int12_3",1,0.998596590003585
33,100,"big",0.7071068,200333,5,0,5,"int12_3","int12_3",1,0.996573682775505
34,100,"big",0.7071068,200334,1,0,1,"int12_3","int34",0,0.83077546522314
35,100,"big",0.7071068,200335,2,0,2,"int12_3","int12_3",1,0.999762330321675
36,100,"big",0.7071068,200336,3,2,5,"int12_3","int12_4",0,0.596732683247486
37,100,"big",0.7071068,200337,2,1,3,"int12_3","int12_3",1,0.991543361336654
38,100,"big",0.7071068,200338,5,2,7,"int12_3","int12_3",1,0.909910856061775
39,100,"big",0.7071068,200339,2,0,2,"int12_3","null",0,0.772905933527569
40,100,"big",0.7071068,200340,2,0,2,"int12_3","int12_3",1,0.878293983822905
41,100,"big",0.7071068,200341,3,1,4,"int12_3","int12_3",1,0.999792375874307
42,100,"big",0.7071068,200342,2,1,3,"int12_3","int12_3",1,0.860222121245077
43,100,"big",0.7071068,200343,1,0,1,"int12_3","int12_3",1,0.993739289163675
44,100,"big",0.7071068,200344,1,3,4,"int12_3","int12_3",1,0.984440872503165
45,100,"big",0.7071068,200345,1,0,1,"int12_3","int12_3",1,0.887036138274838
46,100,"big",0.7071068,200346,3,0,3,"int12_3","int12_3",1,0.929839507352842
47,100,"big",0.7071068,200347,4,1,5,"int12_3","int12_4",0,0.571298865826729
48,100,"big",0.7071068,200348,3,0,3,"int12_3","int12_3",1,0.999865605963769
49,100,"big",0.7071068,200349,0,1,1,"int12_3","int12_3",1,0.999772511733819
50,100,"big",0.7071068,200350,0,4,4,"int12_3","int12_3",1,0.999357645493354
