"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,100,"medium",0.4472136,0.20000000402496,200201,1,0,1,"int12_3","~x1 * x2 + x3",30.7004966962066,NA,1,0.997319659276983,NA
2,100,"medium",0.4472136,0.20000000402496,200202,1,0,1,"int12_3","~x1 * x2 + x3",13.3564841870538,NA,1,0.944003453681717,NA
3,100,"medium",0.4472136,0.20000000402496,200203,2,0,2,"int12_3","~x1 * x2 + x3",36.6978262199474,NA,1,0.999868759849524,NA
4,100,"medium",0.4472136,0.20000000402496,200204,0,1,1,"x1","~x1",9.97557616730517,NA,0,0.959046372926823,NA
5,100,"medium",0.4472136,0.20000000402496,200205,4,0,4,"int12_3","~x1 * x2 + x3",23.7304410776951,NA,1,0.990023649500337,NA
6,100,"medium",0.4472136,0.20000000402496,200206,1,0,1,"int12_3","~x1 * x2 + x3",10.3053241433459,NA,1,0.977883935330553,NA
7,100,"medium",0.4472136,0.20000000402496,200207,0,2,2,"int23_1","~x2 * x3 + x1",7.07659111323853,NA,0,0.992822867406668,NA
8,100,"medium",0.4472136,0.20000000402496,200208,2,1,3,"int12_3","~x1 * x2 + x3",58.6236596039991,NA,1,0.999575232619817,NA
9,100,"medium",0.4472136,0.20000000402496,200209,1,0,1,"x2","~x2",15.2704359643431,NA,0,0.588707706223325,NA
10,100,"medium",0.4472136,0.20000000402496,200210,0,2,2,"int12_3","~x1 * x2 + x3",3.15324895614742,NA,1,0.961843132685368,NA
11,100,"medium",0.4472136,0.20000000402496,200211,2,1,3,"int23_1","~x2 * x3 + x1",10.7117985850705,NA,0,0.993054504186593,NA
12,100,"medium",0.4472136,0.20000000402496,200212,3,1,4,"int12_3","~x1 * x2 + x3",49.6352157540933,NA,1,0.991781653423701,NA
13,100,"medium",0.4472136,0.20000000402496,200213,1,2,3,"int12_3","~x1 * x2 + x3",52.6795167703951,NA,1,0.99978627686977,NA
14,100,"medium",0.4472136,0.20000000402496,200214,0,3,3,"int12_3","~x1 * x2 + x3",56.5908861171855,NA,1,0.638927476053142,NA
15,100,"medium",0.4472136,0.20000000402496,200215,2,0,2,"int12_3","~x1 * x2 + x3",10.9599802912085,NA,1,0.999855320323696,NA
16,100,"medium",0.4472136,0.20000000402496,200216,1,1,2,"int12_3","~x1 * x2 + x3",39.5770665902035,NA,1,0.994881072913308,NA
