"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,100,"medium",0.4472136,200201,1,0,1,"int12_3","int12_3",1,0.997319659276983
2,100,"medium",0.4472136,200202,1,0,1,"int12_3","int12_3",1,0.944003453681717
3,100,"medium",0.4472136,200203,2,0,2,"int12_3","int12_3",1,0.999868759849524
4,100,"medium",0.4472136,200204,0,1,1,"int12_3","x1",0,0.959046372926823
5,100,"medium",0.4472136,200205,4,0,4,"int12_3","int12_3",1,0.990023649500337
6,100,"medium",0.4472136,200206,1,0,1,"int12_3","int12_3",1,0.977883935330553
7,100,"medium",0.4472136,200207,0,2,2,"int12_3","int23_1",0,0.992822867406668
8,100,"medium",0.4472136,200208,2,1,3,"int12_3","int12_3",1,0.999575232619817
9,100,"medium",0.4472136,200209,1,0,1,"int12_3","x2",0,0.588707706223325
10,100,"medium",0.4472136,200210,0,2,2,"int12_3","int12_3",1,0.961843132685368
11,100,"medium",0.4472136,200211,2,1,3,"int12_3","int23_1",0,0.993054504186593
12,100,"medium",0.4472136,200212,3,1,4,"int12_3","int12_3",1,0.991781653423701
13,100,"medium",0.4472136,200213,1,2,3,"int12_3","int12_3",1,0.99978627686977
14,100,"medium",0.4472136,200214,0,3,3,"int12_3","int12_3",1,0.638927476053142
15,100,"medium",0.4472136,200215,2,0,2,"int12_3","int12_3",1,0.999855320323696
16,100,"medium",0.4472136,200216,1,1,2,"int12_3","int12_3",1,0.994881072913308
17,100,"medium",0.4472136,200217,2,0,2,"int12_3","int12_3",1,0.998855584391188
18,100,"medium",0.4472136,200218,0,0,0,"int12_3","int12_4",0,0.91400702515834
19,100,"medium",0.4472136,200219,2,0,2,"int12_3","int12_3",1,0.998499033867248
20,100,"medium",0.4472136,200220,1,0,1,"int12_3","int12_3",1,0.997874882115668
21,100,"medium",0.4472136,200221,0,1,1,"int12_3","null",0,0.581981108769596
22,100,"medium",0.4472136,200222,3,1,4,"int12_3","int12_3",1,0.898252449358966
23,100,"medium",0.4472136,200223,1,0,1,"int12_3","int12_3",1,0.999826647049998
24,100,"medium",0.4472136,200224,2,0,2,"int12_3","int12_3",1,0.999826999348379
25,100,"medium",0.4472136,200225,2,0,2,"int12_3","int12_4",0,0.999999992657788
26,100,"medium",0.4472136,200226,3,0,3,"int12_3","int12_3",1,0.934789130666629
27,100,"medium",0.4472136,200227,3,0,3,"int12_3","int12_3",1,0.999475761150758
28,100,"medium",0.4472136,200228,0,0,0,"int12_3","null",0,0.997799233362306
29,100,"medium",0.4472136,200229,1,0,1,"int12_3","int12_3",1,0.995870989989851
30,100,"medium",0.4472136,200230,2,1,3,"int12_3","int12_3",1,0.982226206312374
31,100,"medium",0.4472136,200231,0,1,1,"int12_3","x1",0,0.993756972331838
32,100,"medium",0.4472136,200232,2,1,3,"int12_3","int12_3",1,0.962946957550261
33,100,"medium",0.4472136,200233,1,0,1,"int12_3","int12_3",1,0.558783034020136
34,100,"medium",0.4472136,200234,1,1,2,"int12_3","x2",0,0.999287718875795
35,100,"medium",0.4472136,200235,0,1,1,"int12_3","int12_3",1,0.999680516880511
36,100,"medium",0.4472136,200236,1,0,1,"int12_3","int12_3",1,0.998629376071431
37,100,"medium",0.4472136,200237,7,0,7,"int12_3","int12_3",1,0.999976538444675
38,100,"medium",0.4472136,200238,1,0,1,"int12_3","int12_3",1,0.99953340694531
39,100,"medium",0.4472136,200239,1,0,1,"int12_3","int12",0,0.999999999920566
40,100,"medium",0.4472136,200240,0,1,1,"int12_3","int12_3",1,0.999748712963739
41,100,"medium",0.4472136,200241,4,0,4,"int12_3","int12_3",1,0.668646597080119
42,100,"medium",0.4472136,200242,1,0,1,"int12_3","int12_3",1,0.989971029017913
43,100,"medium",0.4472136,200243,0,2,2,"int12_3","int12_4",0,0.999999999805352
44,100,"medium",0.4472136,200244,2,0,2,"int12_3","int12_3",1,0.999775698863411
45,100,"medium",0.4472136,200245,0,0,0,"int12_3","null",0,0.999943019347225
46,100,"medium",0.4472136,200246,3,0,3,"int12_3","null",0,0.672337752574866
47,100,"medium",0.4472136,200247,3,1,4,"int12_3","int12_3",1,0.999500169643317
48,100,"medium",0.4472136,200248,2,0,2,"int12_3","int12_3",1,0.999804599610354
49,100,"medium",0.4472136,200249,2,0,2,"int12_3","x1",0,0.515575172855885
50,100,"medium",0.4472136,200250,3,0,3,"int12_3","int12_3",1,0.977581967347464
