"model","log_marginal","post_prob"
"null",-0.844790981401459,0.542606640889027
"int12_3",-1.02015520150846,0.455329083997796
"x2",-6.68752318305977,0.00157405082136193
"x1",-7.9030042318745,0.000466812028312254
"int12_4",-11.1090124836584,1.89143031427032e-05
"x4",-12.7103676489179,3.81356043685553e-06
"x3",-14.5279800408137,6.19372047218323e-07
"int12",-16.7919564056695,6.43752841439185e-08
"main",-21.9818791065649,3.5872725018585e-10
"int13_2",-22.7294647984856,1.69860355122323e-10
"int23_1",-23.0456364516719,1.23817041696808e-10
"int24_1",-29.8196285019552,1.415380003216e-13
"int14_2",-30.9588569873058,4.53014820907189e-14
"int24",-36.1417020078307,2.54232704651522e-16
"int23",-36.991102961649,1.08727967726718e-16
"int13",-37.1848494756619,8.95773537594472e-17
"int14",-37.3454278098161,7.62886525441916e-17
"int34",-37.7271486163822,5.20811666672329e-17
"int24_3",-42.1684371950985,6.13555116376258e-19
"int34_2",-44.9030674643049,3.98307740223099e-20
"int14_3",-45.677738072637,1.83562335868859e-20
"int23_4",-45.8837674470625,1.49384712335278e-20
"int34_1",-48.8815235490372,7.4541344516794e-22
"int13_4",-48.9860740147782,6.71415760706682e-22
"int123_4",-62.7238305880509,7.25704235973817e-28
"int124_3",-63.6094648621851,2.99318513582796e-28
"int234_1",-81.3299847427578,6.02850435882384e-36
"int134_2",-83.3959920624183,7.63754884538224e-37
"full",-168.535546660196,8.07821201639814e-74
