"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,100,"small",0.1,0.01,200101,0,0,0,"x1","~x1",7.36414318718451,NA,0,0.995671963303919,NA
2,100,"small",0.1,0.01,200102,2,0,2,"null","~1",-1.22721890666929,NA,0,0.994794606288259,NA
3,100,"small",0.1,0.01,200103,0,0,0,"null","~1",3.07993407728301,NA,0,0.999986435224008,NA
4,100,"small",0.1,0.01,200104,2,0,2,"null","~1",-0.844790981401459,NA,0,0.542606640889027,NA
5,100,"small",0.1,0.01,200105,1,0,1,"x1","~x1",-3.49342315644232,NA,0,0.519387653177005,NA
6,100,"small",0.1,0.01,200106,0,0,0,"int12_3","~x1 * x2 + x3",-0.143083386473222,NA,1,0.87819642996431,NA
7,100,"small",0.1,0.01,200107,1,0,1,"int12_3","~x1 * x2 + x3",2.66397350188433,NA,1,0.612548604703029,NA
8,100,"small",0.1,0.01,200108,2,0,2,"x1","~x1",7.99068218760375,NA,0,0.974505163333313,NA
9,100,"small",0.1,0.01,200109,2,0,2,"int12_3","~x1 * x2 + x3",2.19496448849935,NA,1,0.925917791480298,NA
10,100,"small",0.1,0.01,200110,2,0,2,"x1","~x1",12.4589974228247,NA,0,0.999719622703975,NA
11,100,"small",0.1,0.01,200111,0,0,0,"null","~1",-3.72397855915617,NA,0,0.997488823596973,NA
12,100,"small",0.1,0.01,200112,0,0,0,"null","~1",5.49120670113621,NA,0,0.999937031819947,NA
13,100,"small",0.1,0.01,200113,3,1,4,"int12_3","~x1 * x2 + x3",37.895706165663,NA,1,0.782059177562618,NA
14,100,"small",0.1,0.01,200114,0,0,0,"null","~1",4.98426513595412,NA,0,0.999869782269095,NA
15,100,"small",0.1,0.01,200115,4,1,5,"int12_3","~x1 * x2 + x3",29.0289582923973,NA,1,0.993093921569185,NA
16,100,"small",0.1,0.01,200116,1,1,2,"int12_3","~x1 * x2 + x3",9.78012581749911,NA,1,0.999993239637164,NA
17,100,"small",0.1,0.01,200117,2,0,2,"int12_3","~x1 * x2 + x3",25.609709237737,NA,1,0.99999966331234,NA
18,100,"small",0.1,0.01,200118,1,0,1,"int12_3","~x1 * x2 + x3",-2.98963562787623,NA,1,0.506017790828477,NA
19,100,"small",0.1,0.01,200119,1,0,1,"null","~1",-1.00143172098346,NA,0,0.982636361640392,NA
20,100,"small",0.1,0.01,200120,0,0,0,"null","~1",2.63595547768567,NA,0,0.927259483475363,NA
21,100,"small",0.1,0.01,200121,0,0,0,"null","~1",-1.43557063891936,NA,0,0.995248036825762,NA
22,100,"small",0.1,0.01,200122,1,0,1,"int12_3","~x1 * x2 + x3",0.0183024621589709,NA,1,0.846140132640334,NA
23,100,"small",0.1,0.01,200123,2,0,2,"int12_3","~x1 * x2 + x3",8.0559361941919,NA,1,0.999277177733425,NA
24,100,"small",0.1,0.01,200124,1,1,2,"int12_3","~x1 * x2 + x3",12.8150987821153,NA,1,0.999995738934195,NA
25,100,"small",0.1,0.01,200125,2,1,3,"int12_3","~x1 * x2 + x3",11.986476508274,NA,1,0.99998258158004,NA
26,100,"small",0.1,0.01,200126,1,2,3,"int12_3","~x1 * x2 + x3",20.8732082060871,NA,1,0.999938646159178,NA
27,100,"small",0.1,0.01,200127,0,0,0,"null","~1",0.293265015154063,NA,0,0.903071684748301,NA
28,100,"small",0.1,0.01,200128,1,1,2,"int12_3","~x1 * x2 + x3",13.5930649242961,NA,1,0.999921705893743,NA
29,100,"small",0.1,0.01,200129,0,0,0,"null","~1",0.844282268202875,NA,0,0.971977414785914,NA
30,100,"small",0.1,0.01,200130,2,0,2,"int12_3","~x1 * x2 + x3",19.6118279732934,NA,1,0.999998196037814,NA
31,100,"small",0.1,0.01,200131,1,0,1,"int12_3","~x1 * x2 + x3",0.831197044196188,NA,1,0.860210522106675,NA
32,100,"small",0.1,0.01,200132,1,0,1,"int12_3","~x1 * x2 + x3",18.4207514894262,NA,1,0.998418525024399,NA
33,100,"small",0.1,0.01,200133,0,0,0,"null","~1",0.079458890040641,NA,0,0.982103841946637,NA
34,100,"small",0.1,0.01,200134,5,0,5,"int12_3","~x1 * x2 + x3",48.7973081837235,NA,1,0.999887561192875,NA
35,100,"small",0.1,0.01,200135,4,0,4,"int12_3","~x1 * x2 + x3",34.859493890095,NA,1,0.999437047533593,NA
36,100,"small",0.1,0.01,200136,0,0,0,"null","~1",-3.8214115806134,NA,0,0.991139918882629,NA
37,100,"small",0.1,0.01,200137,2,0,2,"int12_3","~x1 * x2 + x3",8.12414233349853,NA,1,0.999887390087248,NA
38,100,"small",0.1,0.01,200138,0,0,0,"null","~1",1.42358955545988,NA,0,0.99661930702137,NA
39,100,"small",0.1,0.01,200139,1,0,1,"int12_3","~x1 * x2 + x3",-1.30248524135197,NA,1,0.786935879828881,NA
40,100,"small",0.1,0.01,200140,0,0,0,"null","~1",2.00573880906289,NA,0,0.999777720414439,NA
41,100,"small",0.1,0.01,200141,3,0,3,"int12_3","~x1 * x2 + x3",26.401398032528,NA,1,0.998492662538353,NA
42,100,"small",0.1,0.01,200142,1,0,1,"int12_3","~x1 * x2 + x3",2.94114481868905,NA,1,0.953758783333977,NA
43,100,"small",0.1,0.01,200143,1,0,1,"null","~1",-2.05010221975773,NA,0,0.822129339069832,NA
44,100,"small",0.1,0.01,200144,0,0,0,"null","~1",4.41677628134543,NA,0,0.964863116606709,NA
45,100,"small",0.1,0.01,200145,2,0,2,"int12_3","~x1 * x2 + x3",18.4879550051458,NA,1,0.999669106263456,NA
46,100,"small",0.1,0.01,200146,0,0,0,"null","~1",0.0544339704069898,NA,0,0.987528378333063,NA
47,100,"small",0.1,0.01,200147,3,0,3,"int12_3","~x1 * x2 + x3",39.5589102575987,NA,1,0.999999322748411,NA
48,100,"small",0.1,0.01,200148,1,0,1,"null","~1",-4.86399366949843,NA,0,0.986897528948232,NA
49,100,"small",0.1,0.01,200149,1,1,2,"int12_3","~x1 * x2 + x3",22.4478801223185,NA,1,0.999971852213039,NA
50,100,"small",0.1,0.01,200150,1,0,1,"int12_3","~x1 * x2 + x3",1.87837887005566,NA,1,0.918736429108199,NA
