"model","log_marginal","post_prob"
"null",-4.80599709670551,0.99985307127621
"x2",-13.7118205946481,0.000135577050963701
"x1",-16.5791654032076,7.70751103071299e-06
"x3",-17.3577583440034,3.53814426634171e-06
"x4",-20.8655115456744,1.06017529009948e-07
"int12_3",-43.0291235835866,2.5109800987049e-17
"int12_4",-46.4992167500633,7.81269655675139e-19
"int13_2",-46.6047228376288,7.03040339734684e-19
"int23_1",-46.7417949954359,6.12986010696255e-19
"main",-46.7536447662658,6.057651343071e-19
"int24_1",-50.2519230212024,1.83240442128363e-20
"int14_2",-50.3547144000511,1.65340635432604e-20
"int24_3",-58.1313959114913,6.93441348875609e-24
"int34_1",-58.5501451374818,4.5619367150053e-24
"int34_2",-58.673915570801,4.03084817164764e-24
"int23_4",-58.6892176541738,3.96963731804586e-24
"int12",-58.8245247278341,3.46727041750029e-24
"int13_4",-59.1361727864754,2.53887127557162e-24
"int14_3",-59.3923668950385,1.96506533475031e-24
"int34",-61.7006840102598,1.95383375715178e-25
"int24",-61.8538690552162,1.6763325928968e-25
"int14",-62.2241160429107,1.15761451962707e-25
"int13",-62.4231488058909,9.48691773602018e-26
"int23",-62.5621169612927,8.25604462379968e-26
"int124_3",-104.550313865509,4.80319049427702e-44
"int123_4",-105.318967085672,2.2269371437626e-44
"int134_2",-107.857841247354,1.7582835800105e-45
"int234_1",-107.871228789189,1.73490134954397e-45
"full",-210.672952297931,3.91790169547012e-90
