"model","log_marginal","post_prob"
"int12_3",352.889183899947,0.997633598814909
"int12",346.845168140273,0.0023664011850844
"int123_4",319.952625392511,4.95228299782662e-15
"int124_3",318.557241902665,1.22686875036726e-15
"int12_4",311.217319287443,7.96361425423752e-19
"full",256.391903785709,1.23235205839588e-42
"int13_2",226.066461186988,8.32841605943381e-56
"main",225.497605416127,4.71532347058096e-56
"int23_1",222.768448423899,3.07789406832506e-57
"int13",220.825300865175,4.40915540662571e-58
"int34",218.137106172766,2.99838423106008e-59
"int23",217.06344207921,1.02470981006466e-59
"int14",216.13613529721,4.05393401495324e-60
"int24",215.995964871297,3.52372033723109e-60
"int134_2",195.228360316185,3.37089614458988e-69
"int14_2",193.124736828083,4.11294876440304e-70
"int24_1",193.083629192453,3.9473031407312e-70
"int234_1",191.846796189659,1.14591058737156e-70
"int13_4",125.884802379536,2.58357340271378e-99
"int34_1",121.411610392555,2.94807283166004e-101
"int14_3",119.800991722445,5.88918785261845e-102
"x1",112.985087247605,6.45573515144173e-105
"x3",87.8256799819855,7.64458583898228e-116
"x2",87.0867052850107,3.65107982692885e-116
"int34_2",82.678507467422,4.44595785075499e-118
"int23_4",82.2685462528834,2.95067548083967e-118
"int24_3",81.8698588021856,1.98049471587227e-118
"null",74.4424964459783,1.17790753951564e-121
"x4",67.5725525363526,1.22329857737539e-124
