"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int12_3",515.509893519508,0.999686602320356,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int12",507.442169333885,0.000313397679475994,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int123_4",486.093149726122,1.6762329243358e-13,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int124_3",479.689176571507,2.77411310164712e-16,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int12_4",468.713141584783,4.74561755110724e-21,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"full",429.040617876453,2.79727140523703e-38,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int23_1",411.351068753824,5.81113593337081e-46,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"main",410.62542973821,2.81267798653428e-46,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int13_2",409.7488666145,1.17066729743866e-46,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int23",404.692114953835,7.45270865552357e-49,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int34",403.566081000185,2.41703985391418e-49,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int13",402.716621410567,1.03363736213394e-49,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int14",401.435791606943,2.87151363683109e-50,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int24",401.171268553557,2.20409333181388e-50,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int234_1",380.066744496034,1.50539905574882e-59,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int134_2",378.140640172453,2.19358849670992e-60,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int14_2",371.647328748229,3.32005928782311e-63,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int24_1",370.913857352906,1.59442193161188e-63,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int34_2",303.517527220673,8.56542629953265e-93,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"x2",302.502573286264,3.10427430043805e-93,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int23_4",300.757665427777,5.42195907399419e-94,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int24_3",299.834654864261,2.15425862618735e-94,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int34_1",291.898705767768,7.70475688107478e-98,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int13_4",290.682971446398,2.28440042421062e-98,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int14_3",288.018182356624,1.59026329478423e-99,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"x3",285.922383421492,1.95557790745083e-100,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"x1",283.273326850373,1.38294360764035e-101,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"null",272.262130113578,2.28403360438693e-106,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"x4",267.242454105358,1.5089849140315e-108,41,500,"big",0.7071068,600341,"int12_3","int12_3",1
"int12_3",352.889183899947,0.997633598814909,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int12",346.845168140273,0.0023664011850844,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int123_4",319.952625392511,4.95228299782662e-15,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int124_3",318.557241902665,1.22686875036726e-15,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int12_4",311.217319287443,7.96361425423752e-19,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"full",256.391903785709,1.23235205839588e-42,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int13_2",226.066461186988,8.32841605943381e-56,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"main",225.497605416127,4.71532347058096e-56,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int23_1",222.768448423899,3.07789406832506e-57,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int13",220.825300865175,4.40915540662571e-58,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int34",218.137106172766,2.99838423106008e-59,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int23",217.06344207921,1.02470981006466e-59,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int14",216.13613529721,4.05393401495324e-60,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int24",215.995964871297,3.52372033723109e-60,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int134_2",195.228360316185,3.37089614458988e-69,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
"int14_2",193.124736828083,4.11294876440304e-70,42,500,"big",0.7071068,600342,"int12_3","int12_3",1
