"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int12_3",289.920661338679,0.999999901158601,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int12",273.790912132384,9.88413986640388e-08,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int12_4",242.1093912787,1.72119151807235e-21,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int123_4",226.487021891278,2.82566308551211e-28,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int124_3",225.488788503363,1.041341379087e-28,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int13_2",168.098617485144,1.2398197130043e-53,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int23_1",167.551144100954,7.17123356479154e-54,30,500,"small",0.1,600130,"int12_3","int12_3",1
"main",166.829388157399,3.48449017253962e-54,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int14",153.375038348286,5.00022289483705e-60,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int24",152.135276514255,1.44733025571126e-60,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int13",151.911161113444,1.15673948144337e-60,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int34",151.442132219813,7.23667216441601e-61,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int23",151.375989983193,6.77350865837076e-61,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int14_2",140.965218753923,2.03926278168489e-65,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int24_1",138.680018316281,2.07502461521635e-66,30,500,"small",0.1,600130,"int12_3","int12_3",1
"full",124.948484653413,2.2568045830187e-72,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int134_2",116.863689423684,6.95523806214981e-76,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int234_1",106.60263641545,2.43216648424284e-80,30,500,"small",0.1,600130,"int12_3","int12_3",1
"x1",95.3065114064844,3.02098480759016e-85,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int34_1",76.9275730611362,3.14975688993858e-93,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int14_3",74.802326491851,3.76092070497462e-94,30,500,"small",0.1,600130,"int12_3","int12_3",1
"int13_4",74.2623464917981,2.19171380186292e-94,30,500,"small",0.1,600130,"int12_3","int12_3",1
