"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
30,500,"small",0.1,600130,4,1,5,"int12_3","int12_3",1,0.999999901158601
31,500,"small",0.1,600131,8,0,8,"int12_3","int12_3",1,0.999999893175401
32,500,"small",0.1,600132,5,1,6,"int12_3","int12_3",1,0.999999830221156
33,500,"small",0.1,600133,2,1,3,"int12_3","int12_3",1,0.999999897309827
34,500,"small",0.1,600134,5,3,8,"int12_3","int12_3",1,0.999999628300162
35,500,"small",0.1,600135,6,2,8,"int12_3","int12_3",1,0.999999879702683
36,500,"small",0.1,600136,7,0,7,"int12_3","int12_3",1,0.999999825525576
37,500,"small",0.1,600137,5,1,6,"int12_3","int12_3",1,0.999999898791523
38,500,"small",0.1,600138,11,2,13,"int12_3","int12_3",1,0.99999975865363
39,500,"small",0.1,600139,8,0,8,"int12_3","int12_3",1,0.999999886404113
40,500,"small",0.1,600140,5,1,6,"int12_3","int12_3",1,0.999999893263367
41,500,"small",0.1,600141,5,3,8,"int12_3","int12_3",1,0.999999901780574
42,500,"small",0.1,600142,6,1,7,"int12_3","int12_3",1,0.999999429765894
43,500,"small",0.1,600143,3,0,3,"int12_3","int12_3",1,0.999999854967647
44,500,"small",0.1,600144,5,2,7,"int12_3","int12_3",1,0.999999873557982
45,500,"small",0.1,600145,3,1,4,"int12_3","int12_3",1,0.99999936178045
46,500,"small",0.1,600146,5,2,7,"int12_3","int12_3",1,0.999999596343243
47,500,"small",0.1,600147,8,1,9,"int12_3","int12_3",1,0.999999903383711
48,500,"small",0.1,600148,10,1,11,"int12_3","int12_3",1,0.999999888450948
49,500,"small",0.1,600149,6,0,6,"int12_3","int12_3",1,0.999999901581287
50,500,"small",0.1,600150,3,4,7,"int12_3","int12_3",1,0.999999903544875
