"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,100,"medium",0.4472136,0.20000000402496,200201,1,0,1,"int12_3","~x1 * x2 + x3",29.8528071227298,NA,1,0.997171175123522,NA
2,100,"medium",0.4472136,0.20000000402496,200202,1,0,1,"int12_3","~x1 * x2 + x3",13.0132593247261,NA,1,0.938808538617212,NA
3,100,"medium",0.4472136,0.20000000402496,200203,2,0,2,"int12_3","~x1 * x2 + x3",36.2760136395747,NA,1,0.999070366496485,NA
4,100,"medium",0.4472136,0.20000000402496,200204,0,1,1,"x1","~x1",9.29957863610251,NA,0,0.96577668480585,NA
5,100,"medium",0.4472136,0.20000000402496,200205,4,0,4,"int12_3","~x1 * x2 + x3",56.2957917897904,NA,1,0.999740086592848,NA
6,100,"medium",0.4472136,0.20000000402496,200206,1,0,1,"int12_3","~x1 * x2 + x3",9.87086764855349,NA,1,0.97417015806494,NA
7,100,"medium",0.4472136,0.20000000402496,200207,0,2,2,"int12_3","~x1 * x2 + x3",32.0093045818338,NA,1,0.999584224889369,NA
8,100,"medium",0.4472136,0.20000000402496,200208,2,1,3,"int12_3","~x1 * x2 + x3",58.2141607604156,NA,1,0.999589258848097,NA
9,100,"medium",0.4472136,0.20000000402496,200209,1,0,1,"int12_3","~x1 * x2 + x3",16.7755503213799,NA,1,0.845060985628891,NA
10,100,"medium",0.4472136,0.20000000402496,200210,0,2,2,"int12_3","~x1 * x2 + x3",26.9007511171222,NA,1,0.993377606483462,NA
11,100,"medium",0.4472136,0.20000000402496,200211,2,1,3,"int12_3","~x1 * x2 + x3",35.2208721705356,NA,1,0.998231892646697,NA
12,100,"medium",0.4472136,0.20000000402496,200212,3,1,4,"int12_3","~x1 * x2 + x3",71.2321358898521,NA,1,0.988291640006876,NA
13,100,"medium",0.4472136,0.20000000402496,200213,1,2,3,"int12_3","~x1 * x2 + x3",52.2360699381092,NA,1,0.99978292902027,NA
14,100,"medium",0.4472136,0.20000000402496,200214,0,3,3,"int12_3","~x1 * x2 + x3",56.0634325805693,NA,1,0.639458816100811,NA
15,100,"medium",0.4472136,0.20000000402496,200215,2,0,2,"int12_3","~x1 * x2 + x3",40.8980682642516,NA,1,0.999815186480067,NA
16,100,"medium",0.4472136,0.20000000402496,200216,1,1,2,"int12_3","~x1 * x2 + x3",39.1071127672035,NA,1,0.994539354600673,NA
17,100,"medium",0.4472136,0.20000000402496,200217,2,0,2,"int12_3","~x1 * x2 + x3",32.5307265337334,NA,1,0.998846746716718,NA
18,100,"medium",0.4472136,0.20000000402496,200218,0,0,0,"int12_3","~x1 * x2 + x3",9.59817205986041,NA,1,0.995482193408004,NA
19,100,"medium",0.4472136,0.20000000402496,200219,2,0,2,"int12_3","~x1 * x2 + x3",32.1980472830785,NA,1,0.998269989760511,NA
20,100,"medium",0.4472136,0.20000000402496,200220,1,0,1,"int12_3","~x1 * x2 + x3",23.353839752891,NA,1,0.997792561371843,NA
21,100,"medium",0.4472136,0.20000000402496,200221,0,1,1,"int12_3","~x1 * x2 + x3",23.7815225083873,NA,1,0.997114153327795,NA
22,100,"medium",0.4472136,0.20000000402496,200222,3,1,4,"int12_3","~x1 * x2 + x3",49.5408336079661,NA,1,0.900235217912826,NA
23,100,"medium",0.4472136,0.20000000402496,200223,1,0,1,"int12_3","~x1 * x2 + x3",36.8075728086355,NA,1,0.992644715742919,NA
24,100,"medium",0.4472136,0.20000000402496,200224,2,0,2,"int12_3","~x1 * x2 + x3",35.6012453957411,NA,1,0.993163997903349,NA
25,100,"medium",0.4472136,0.20000000402496,200225,2,0,2,"int12_3","~x1 * x2 + x3",39.3193864153093,NA,1,0.999826229134106,NA
26,100,"medium",0.4472136,0.20000000402496,200226,3,0,3,"int12_3","~x1 * x2 + x3",52.7981032617882,NA,1,0.999304244473132,NA
27,100,"medium",0.4472136,0.20000000402496,200227,3,0,3,"int12_3","~x1 * x2 + x3",49.3064645326268,NA,1,0.999486134486665,NA
28,100,"medium",0.4472136,0.20000000402496,200228,0,0,0,"int12_3","~x1 * x2 + x3",13.476774369037,NA,1,0.999272257392929,NA
29,100,"medium",0.4472136,0.20000000402496,200229,1,0,1,"int12_3","~x1 * x2 + x3",14.8943867114683,NA,1,0.995801055119907,NA
30,100,"medium",0.4472136,0.20000000402496,200230,2,1,3,"int12_3","~x1 * x2 + x3",30.65768089569,NA,1,0.982935907183583,NA
31,100,"medium",0.4472136,0.20000000402496,200231,0,1,1,"int12_3","~x1 * x2 + x3",15.7386884440074,NA,1,0.963905473054886,NA
32,100,"medium",0.4472136,0.20000000402496,200232,2,1,3,"int12_3","~x1 * x2 + x3",32.8087346994026,NA,1,0.960412751463366,NA
33,100,"medium",0.4472136,0.20000000402496,200233,1,0,1,"int12_3","~x1 * x2 + x3",7.96214622243914,NA,1,0.544226099070279,NA
34,100,"medium",0.4472136,0.20000000402496,200234,1,1,2,"int12_3","~x1 * x2 + x3",27.2988855321486,NA,1,0.995379354272575,NA
35,100,"medium",0.4472136,0.20000000402496,200235,0,1,1,"int12_3","~x1 * x2 + x3",24.8193387807198,NA,1,0.999676373777635,NA
36,100,"medium",0.4472136,0.20000000402496,200236,1,0,1,"int12_3","~x1 * x2 + x3",23.101358413512,NA,1,0.99847397620531,NA
37,100,"medium",0.4472136,0.20000000402496,200237,7,0,7,"int12_3","~x1 * x2 + x3",103.399037964457,NA,1,0.999681774215499,NA
