"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,100,"small",0.1,0.01,200101,0,0,0,"int12_3","~x1 * x2 + x3",14.610595701431,NA,1,0.879225081297177,NA
2,100,"small",0.1,0.01,200102,2,0,2,"int12_3","~x1 * x2 + x3",18.8271096972374,NA,1,0.930809592689019,NA
3,100,"small",0.1,0.01,200103,0,0,0,"int12_3","~x1 * x2 + x3",9.04069879990223,NA,1,0.999837675140232,NA
4,100,"small",0.1,0.01,200104,2,0,2,"int12_3","~x1 * x2 + x3",23.7740438029673,NA,1,0.999488615339204,NA
5,100,"small",0.1,0.01,200105,1,0,1,"int12_3","~x1 * x2 + x3",20.4646875239111,NA,1,0.999467291658296,NA
6,100,"small",0.1,0.01,200106,0,0,0,"int12_3","~x1 * x2 + x3",20.3165532904788,NA,1,0.972630249786473,NA
7,100,"small",0.1,0.01,200107,1,0,1,"int12_3","~x1 * x2 + x3",22.3915311060822,NA,1,0.593646795922207,NA
8,100,"small",0.1,0.01,200108,2,0,2,"int12_3","~x1 * x2 + x3",28.0857977053874,NA,1,0.982879260659242,NA
9,100,"small",0.1,0.01,200109,2,0,2,"int12_3","~x1 * x2 + x3",22.6914520186282,NA,1,0.999569199989267,NA
10,100,"small",0.1,0.01,200110,2,0,2,"int12_3","~x1 * x2 + x3",25.2328260444827,NA,1,0.975406533597781,NA
11,100,"small",0.1,0.01,200111,0,0,0,"int12_3","~x1 * x2 + x3",13.3697214811752,NA,1,0.999861735644841,NA
12,100,"small",0.1,0.01,200112,0,0,0,"int12_3","~x1 * x2 + x3",6.84265639229751,NA,1,0.941064841320079,NA
13,100,"small",0.1,0.01,200113,3,1,4,"int12_3","~x1 * x2 + x3",59.0631559519705,NA,1,0.76743900861619,NA
14,100,"small",0.1,0.01,200114,0,0,0,"int12_3","~x1 * x2 + x3",13.0940839989028,NA,1,0.979897478423946,NA
15,100,"small",0.1,0.01,200115,4,1,5,"int12_3","~x1 * x2 + x3",55.0501060602767,NA,1,0.998228489118847,NA
16,100,"small",0.1,0.01,200116,1,1,2,"int12_3","~x1 * x2 + x3",33.4126045923343,NA,1,0.999807949811399,NA
17,100,"small",0.1,0.01,200117,2,0,2,"int12_3","~x1 * x2 + x3",48.2483887387676,NA,1,0.999849027588884,NA
18,100,"small",0.1,0.01,200118,1,0,1,"int12_3","~x1 * x2 + x3",20.3358671359535,NA,1,0.980306857120836,NA
19,100,"small",0.1,0.01,200119,1,0,1,"int12_3","~x1 * x2 + x3",20.4114108360745,NA,1,0.999829713307373,NA
20,100,"small",0.1,0.01,200120,0,0,0,"int12_3","~x1 * x2 + x3",9.5720449540626,NA,1,0.982866110726462,NA
21,100,"small",0.1,0.01,200121,0,0,0,"int12_3","~x1 * x2 + x3",13.735478317908,NA,1,0.998248199591241,NA
22,100,"small",0.1,0.01,200122,1,0,1,"int12_3","~x1 * x2 + x3",26.547258402198,NA,1,0.774388567372743,NA
23,100,"small",0.1,0.01,200123,2,0,2,"int12_3","~x1 * x2 + x3",30.1942305868993,NA,1,0.997699405402425,NA
24,100,"small",0.1,0.01,200124,1,1,2,"int12_3","~x1 * x2 + x3",35.5068574283619,NA,1,0.999873023649232,NA
25,100,"small",0.1,0.01,200125,2,1,3,"int12_3","~x1 * x2 + x3",41.5084378923545,NA,1,0.999839007271128,NA
26,100,"small",0.1,0.01,200126,1,2,3,"int12_3","~x1 * x2 + x3",41.3852322257729,NA,1,0.999561522598481,NA
27,100,"small",0.1,0.01,200127,0,0,0,"int12_3","~x1 * x2 + x3",14.8089384763659,NA,1,0.991043763518867,NA
28,100,"small",0.1,0.01,200128,1,1,2,"int12_3","~x1 * x2 + x3",34.8502005638931,NA,1,0.999213044633097,NA
29,100,"small",0.1,0.01,200129,0,0,0,"int13_2","~x1 * x3 + x2",15.9200606306404,NA,0,0.561851660934432,NA
30,100,"small",0.1,0.01,200130,2,0,2,"int12_3","~x1 * x2 + x3",43.0607241918694,NA,1,0.999870445154528,NA
31,100,"small",0.1,0.01,200131,1,0,1,"int12_3","~x1 * x2 + x3",20.566424522312,NA,1,0.99916328014546,NA
32,100,"small",0.1,0.01,200132,1,0,1,"int12_3","~x1 * x2 + x3",37.7017514056716,NA,1,0.99763200769889,NA
33,100,"small",0.1,0.01,200133,0,0,0,"int12_3","~x1 * x2 + x3",19.1477230794208,NA,1,0.999665693772375,NA
34,100,"small",0.1,0.01,200134,5,0,5,"int12_3","~x1 * x2 + x3",71.9243560883744,NA,1,0.998887423426861,NA
35,100,"small",0.1,0.01,200135,4,0,4,"int12_3","~x1 * x2 + x3",57.7372377378417,NA,1,0.996879572806274,NA
36,100,"small",0.1,0.01,200136,0,0,0,"int12_3","~x1 * x2 + x3",12.6553839148402,NA,1,0.999639184264225,NA
37,100,"small",0.1,0.01,200137,2,0,2,"int12_3","~x1 * x2 + x3",31.8652726254264,NA,1,0.999170640521482,NA
38,100,"small",0.1,0.01,200138,0,0,0,"int12_3","~x1 * x2 + x3",9.9823474918251,NA,1,0.99024513545986,NA
39,100,"small",0.1,0.01,200139,1,0,1,"int12_3","~x1 * x2 + x3",18.6236225603109,NA,1,0.990576030827499,NA
40,100,"small",0.1,0.01,200140,0,0,0,"int12_3","~x1 * x2 + x3",6.94302068528819,NA,1,0.999483970911917,NA
41,100,"small",0.1,0.01,200141,3,0,3,"int12_3","~x1 * x2 + x3",48.5238371156079,NA,1,0.99748057402752,NA
42,100,"small",0.1,0.01,200142,1,0,1,"int12_3","~x1 * x2 + x3",23.8636516795779,NA,1,0.999602107569678,NA
43,100,"small",0.1,0.01,200143,1,0,1,"int12_3","~x1 * x2 + x3",15.474104741685,NA,1,0.936551279421394,NA
44,100,"small",0.1,0.01,200144,0,0,0,"int12_3","~x1 * x2 + x3",16.0567053193157,NA,1,0.976478830999539,NA
45,100,"small",0.1,0.01,200145,2,0,2,"int12_3","~x1 * x2 + x3",37.7175640609554,NA,1,0.999277645692601,NA
46,100,"small",0.1,0.01,200146,0,0,0,"int12_3","~x1 * x2 + x3",5.06341933856058,NA,1,0.984153628446396,NA
47,100,"small",0.1,0.01,200147,3,0,3,"int12_3","~x1 * x2 + x3",59.0820104327287,NA,1,0.99976723840836,NA
