"rep","n","tau_label","tau_sd","tau_var","seed","n_y0","n_y1","n_y01","best_model","best_formula","log_marginal","tau_map","correct","chosen_post_prob","error"
1,50,"big",0.7071068,0.50000002660624,150301,0,1,1,"int12_3","~x1 * x2 + x3",-4.96765022040653,NA,1,0.624170089114292,NA
2,50,"big",0.7071068,0.50000002660624,150302,1,0,1,"x1","~x1",-5.38466423824729,NA,0,0.609871138490152,NA
3,50,"big",0.7071068,0.50000002660624,150303,1,0,1,"null","~1",-3.23592458431439,NA,0,0.539419927540967,NA
4,50,"big",0.7071068,0.50000002660624,150304,6,0,6,"x2","~x2",72.4268977174595,NA,0,0.631266167442204,NA
5,50,"big",0.7071068,0.50000002660624,150305,0,0,0,"null","~1",-12.3863928896012,NA,0,0.941490060180128,NA
6,50,"big",0.7071068,0.50000002660624,150306,0,0,0,"null","~1",-2.30619547738866,NA,0,0.99621502140993,NA
7,50,"big",0.7071068,0.50000002660624,150307,1,0,1,"int12_3","~x1 * x2 + x3",-4.80494136276353,NA,1,0.769489584807348,NA
8,50,"big",0.7071068,0.50000002660624,150308,1,0,1,"null","~1",3.92670580755124,NA,0,0.835652281444558,NA
9,50,"big",0.7071068,0.50000002660624,150309,0,1,1,"x1","~x1",-7.71697290644209,NA,0,0.757887253108367,NA
10,50,"big",0.7071068,0.50000002660624,150310,0,0,0,"null","~1",-7.07062667046916,NA,0,0.933908468771109,NA
11,50,"big",0.7071068,0.50000002660624,150311,2,0,2,"null","~1",16.1306184965328,NA,0,0.721135688038223,NA
12,50,"big",0.7071068,0.50000002660624,150312,1,0,1,"null","~1",2.15745520090305,NA,0,0.989660463078591,NA
13,50,"big",0.7071068,0.50000002660624,150313,1,1,2,"int12_3","~x1 * x2 + x3",8.29111386864192,NA,1,0.999312475624925,NA
14,50,"big",0.7071068,0.50000002660624,150314,1,0,1,"x1","~x1",3.88289294839336,NA,0,0.524754013974852,NA
15,50,"big",0.7071068,0.50000002660624,150315,1,0,1,"null","~1",-0.0795249487443677,NA,0,0.656212572341433,NA
16,50,"big",0.7071068,0.50000002660624,150316,1,0,1,"null","~1",-5.00966270781223,NA,0,0.888455064330699,NA
17,50,"big",0.7071068,0.50000002660624,150317,0,2,2,"x1","~x1",7.83115986989977,NA,0,0.800984993399451,NA
18,50,"big",0.7071068,0.50000002660624,150318,0,0,0,"null","~1",-5.03684503948976,NA,0,0.857059699216231,NA
19,50,"big",0.7071068,0.50000002660624,150319,1,1,2,"int12_3","~x1 * x2 + x3",6.64427987408089,NA,1,0.837484722104858,NA
20,50,"big",0.7071068,0.50000002660624,150320,2,0,2,"int23_1","~x2 * x3 + x1",10.4288410185385,NA,0,0.809344164978134,NA
21,50,"big",0.7071068,0.50000002660624,150321,1,0,1,"x1","~x1",-0.168473266957895,NA,0,0.948280813004742,NA
22,50,"big",0.7071068,0.50000002660624,150322,1,0,1,"x1","~x1",-0.774905171482551,NA,0,0.533022773941682,NA
23,50,"big",0.7071068,0.50000002660624,150323,0,0,0,"null","~1",-11.1844123623878,NA,0,0.972390560864194,NA
24,50,"big",0.7071068,0.50000002660624,150324,1,0,1,"null","~1",6.39890356523009,NA,0,0.832799457934329,NA
25,50,"big",0.7071068,0.50000002660624,150325,1,0,1,"null","~1",-0.0134985976221902,NA,0,0.994101924643306,NA
26,50,"big",0.7071068,0.50000002660624,150326,0,0,0,"null","~1",-11.9215879816292,NA,0,0.936504401716531,NA
27,50,"big",0.7071068,0.50000002660624,150327,0,0,0,"x1","~x1",-13.5903911726044,NA,0,0.519867510246904,NA
28,50,"big",0.7071068,0.50000002660624,150328,0,0,0,"null","~1",-8.0055080432171,NA,0,0.923296884130038,NA
29,50,"big",0.7071068,0.50000002660624,150329,1,0,1,"null","~1",-5.62104776724548,NA,0,0.777726613305158,NA
30,50,"big",0.7071068,0.50000002660624,150330,1,0,1,"null","~1",-3.16556136720469,NA,0,0.948046156494392,NA
31,50,"big",0.7071068,0.50000002660624,150331,0,0,0,"null","~1",4.36754382660024,NA,0,0.830531732085031,NA
32,50,"big",0.7071068,0.50000002660624,150332,0,0,0,"null","~1",-6.63158113388018,NA,0,0.940417726753279,NA
33,50,"big",0.7071068,0.50000002660624,150333,0,0,0,"x1","~x1",-3.5893475930683,NA,0,0.592763035753996,NA
34,50,"big",0.7071068,0.50000002660624,150334,1,0,1,"null","~1",-1.18218855166732,NA,0,0.609642833187829,NA
35,50,"big",0.7071068,0.50000002660624,150335,1,1,2,"x3","~x3",9.01635125168908,NA,0,0.581965811220832,NA
36,50,"big",0.7071068,0.50000002660624,150336,2,0,2,"int12_3","~x1 * x2 + x3",14.6770497481028,NA,1,0.739755414457821,NA
37,50,"big",0.7071068,0.50000002660624,150337,2,0,2,"null","~1",10.7635789096291,NA,0,0.94145606048059,NA
38,50,"big",0.7071068,0.50000002660624,150338,0,2,2,"int12_3","~x1 * x2 + x3",5.54427113111067,NA,1,0.554949898989176,NA
39,50,"big",0.7071068,0.50000002660624,150339,0,0,0,"null","~1",-10.1205111699645,NA,0,0.98401125504259,NA
40,50,"big",0.7071068,0.50000002660624,150340,4,0,4,"null","~1",36.0907878774584,NA,0,0.629108092411015,NA
41,50,"big",0.7071068,0.50000002660624,150341,0,0,0,"null","~1",-8.64979690827759,NA,0,0.970607155690815,NA
42,50,"big",0.7071068,0.50000002660624,150342,4,0,4,"x1","~x1",28.8922985848266,NA,0,0.527131780359623,NA
43,50,"big",0.7071068,0.50000002660624,150343,3,1,4,"int12_3","~x1 * x2 + x3",30.2731551884329,NA,1,0.531531422867904,NA
44,50,"big",0.7071068,0.50000002660624,150344,0,0,0,"null","~1",-10.1759062485723,NA,0,0.990450709554233,NA
45,50,"big",0.7071068,0.50000002660624,150345,0,1,1,"int12_3","~x1 * x2 + x3",-0.910966206822721,NA,1,0.92517304163525,NA
46,50,"big",0.7071068,0.50000002660624,150346,2,0,2,"int12_4","~x1 * x2 + x4",13.3503608885196,NA,0,0.658326711368909,NA
47,50,"big",0.7071068,0.50000002660624,150347,0,0,0,"x2","~x2",-7.64867186879379,NA,0,0.623851381474849,NA
48,50,"big",0.7071068,0.50000002660624,150348,2,0,2,"x1","~x1",19.6630234028222,NA,0,0.984217817381037,NA
49,50,"big",0.7071068,0.50000002660624,150349,0,0,0,"null","~1",-11.7650337607956,NA,0,0.979446716898775,NA
50,50,"big",0.7071068,0.50000002660624,150350,2,0,2,"null","~1",-2.97131552693036,NA,0,0.900983290855606,NA
