"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,50,"big",0.7071068,150301,0,1,1,"int12_3","int12_3",1,0.624170089114292
2,50,"big",0.7071068,150302,1,0,1,"int12_3","x1",0,0.609871138490152
3,50,"big",0.7071068,150303,1,0,1,"int12_3","null",0,0.539419927540967
4,50,"big",0.7071068,150304,6,0,6,"int12_3","x2",0,0.631266167442204
5,50,"big",0.7071068,150305,0,0,0,"int12_3","null",0,0.941490060180128
6,50,"big",0.7071068,150306,0,0,0,"int12_3","null",0,0.99621502140993
7,50,"big",0.7071068,150307,1,0,1,"int12_3","int12_3",1,0.769489584807348
8,50,"big",0.7071068,150308,1,0,1,"int12_3","null",0,0.835652281444558
9,50,"big",0.7071068,150309,0,1,1,"int12_3","x1",0,0.757887253108367
10,50,"big",0.7071068,150310,0,0,0,"int12_3","null",0,0.933908468771109
11,50,"big",0.7071068,150311,2,0,2,"int12_3","null",0,0.721135688038223
12,50,"big",0.7071068,150312,1,0,1,"int12_3","null",0,0.989660463078591
13,50,"big",0.7071068,150313,1,1,2,"int12_3","int12_3",1,0.999312475624925
14,50,"big",0.7071068,150314,1,0,1,"int12_3","x1",0,0.524754013974852
15,50,"big",0.7071068,150315,1,0,1,"int12_3","null",0,0.656212572341433
16,50,"big",0.7071068,150316,1,0,1,"int12_3","null",0,0.888455064330699
17,50,"big",0.7071068,150317,0,2,2,"int12_3","x1",0,0.800984993399451
18,50,"big",0.7071068,150318,0,0,0,"int12_3","null",0,0.857059699216231
19,50,"big",0.7071068,150319,1,1,2,"int12_3","int12_3",1,0.837484722104858
20,50,"big",0.7071068,150320,2,0,2,"int12_3","int23_1",0,0.809344164978134
21,50,"big",0.7071068,150321,1,0,1,"int12_3","x1",0,0.948280813004742
22,50,"big",0.7071068,150322,1,0,1,"int12_3","x1",0,0.533022773941682
23,50,"big",0.7071068,150323,0,0,0,"int12_3","null",0,0.972390560864194
24,50,"big",0.7071068,150324,1,0,1,"int12_3","null",0,0.832799457934329
25,50,"big",0.7071068,150325,1,0,1,"int12_3","null",0,0.994101924643306
26,50,"big",0.7071068,150326,0,0,0,"int12_3","null",0,0.936504401716531
27,50,"big",0.7071068,150327,0,0,0,"int12_3","x1",0,0.519867510246904
28,50,"big",0.7071068,150328,0,0,0,"int12_3","null",0,0.923296884130038
29,50,"big",0.7071068,150329,1,0,1,"int12_3","null",0,0.777726613305158
30,50,"big",0.7071068,150330,1,0,1,"int12_3","null",0,0.948046156494392
31,50,"big",0.7071068,150331,0,0,0,"int12_3","null",0,0.830531732085031
32,50,"big",0.7071068,150332,0,0,0,"int12_3","null",0,0.940417726753279
33,50,"big",0.7071068,150333,0,0,0,"int12_3","x1",0,0.592763035753996
34,50,"big",0.7071068,150334,1,0,1,"int12_3","null",0,0.609642833187829
35,50,"big",0.7071068,150335,1,1,2,"int12_3","x3",0,0.581965811220832
36,50,"big",0.7071068,150336,2,0,2,"int12_3","int12_3",1,0.739755414457821
37,50,"big",0.7071068,150337,2,0,2,"int12_3","null",0,0.94145606048059
38,50,"big",0.7071068,150338,0,2,2,"int12_3","int12_3",1,0.554949898989176
39,50,"big",0.7071068,150339,0,0,0,"int12_3","null",0,0.98401125504259
40,50,"big",0.7071068,150340,4,0,4,"int12_3","null",0,0.629108092411015
41,50,"big",0.7071068,150341,0,0,0,"int12_3","null",0,0.970607155690815
42,50,"big",0.7071068,150342,4,0,4,"int12_3","x1",0,0.527131780359623
43,50,"big",0.7071068,150343,3,1,4,"int12_3","int12_3",1,0.531531422867904
44,50,"big",0.7071068,150344,0,0,0,"int12_3","null",0,0.990450709554233
45,50,"big",0.7071068,150345,0,1,1,"int12_3","int12_3",1,0.92517304163525
46,50,"big",0.7071068,150346,2,0,2,"int12_3","int12_4",0,0.658326711368909
47,50,"big",0.7071068,150347,0,0,0,"int12_3","x2",0,0.623851381474849
48,50,"big",0.7071068,150348,2,0,2,"int12_3","x1",0,0.984217817381037
49,50,"big",0.7071068,150349,0,0,0,"int12_3","null",0,0.979446716898775
50,50,"big",0.7071068,150350,2,0,2,"int12_3","null",0,0.900983290855606
