"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,50,"medium",0.4472136,150201,0,0,0,"int12_3","null",0,0.970740091098192
2,50,"medium",0.4472136,150202,0,0,0,"int12_3","null",0,0.694465533707868
3,50,"medium",0.4472136,150203,0,0,0,"int12_3","null",0,0.968321706829946
4,50,"medium",0.4472136,150204,0,0,0,"int12_3","null",0,0.813601322889143
5,50,"medium",0.4472136,150205,0,1,1,"int12_3","x1",0,0.861179334064312
6,50,"medium",0.4472136,150206,0,1,1,"int12_3","null",0,0.639459944274496
7,50,"medium",0.4472136,150207,0,0,0,"int12_3","null",0,0.922506549753183
8,50,"medium",0.4472136,150208,2,0,2,"int12_3","x1",0,0.94884647861041
9,50,"medium",0.4472136,150209,0,0,0,"int12_3","null",0,0.701680106026952
10,50,"medium",0.4472136,150210,1,1,2,"int12_3","int12_3",1,0.770268607281729
11,50,"medium",0.4472136,150211,2,0,2,"int12_3","null",0,0.629114028220825
12,50,"medium",0.4472136,150212,1,0,1,"int12_3","null",0,0.84792498771979
13,50,"medium",0.4472136,150213,0,0,0,"int12_3","null",0,0.987150932963841
14,50,"medium",0.4472136,150214,1,0,1,"int12_3","int12_4",0,0.932888620112007
15,50,"medium",0.4472136,150215,1,0,1,"int12_3","x1",0,0.940330752661775
16,50,"medium",0.4472136,150216,1,0,1,"int12_3","x1",0,0.676105938323793
17,50,"medium",0.4472136,150217,0,1,1,"int12_3","x1",0,0.991962902714142
18,50,"medium",0.4472136,150218,0,0,0,"int12_3","null",0,0.996949478002671
19,50,"medium",0.4472136,150219,1,0,1,"int12_3","null",0,0.863721080202793
20,50,"medium",0.4472136,150220,0,0,0,"int12_3","null",0,0.976258611833519
21,50,"medium",0.4472136,150221,0,1,1,"int12_3","int12_3",1,0.927334203026976
22,50,"medium",0.4472136,150222,1,0,1,"int12_3","null",0,0.954935466217043
23,50,"medium",0.4472136,150223,0,0,0,"int12_3","null",0,0.842839294078332
24,50,"medium",0.4472136,150224,0,0,0,"int12_3","null",0,0.673844743292218
25,50,"medium",0.4472136,150225,1,0,1,"int12_3","null",0,0.991848049740389
26,50,"medium",0.4472136,150226,0,0,0,"int12_3","null",0,0.996481113552394
27,50,"medium",0.4472136,150227,1,0,1,"int12_3","int12_3",1,0.713665672346596
28,50,"medium",0.4472136,150228,0,0,0,"int12_3","null",0,0.97638346214075
29,50,"medium",0.4472136,150229,0,0,0,"int12_3","null",0,0.983255897433099
30,50,"medium",0.4472136,150230,0,0,0,"int12_3","null",0,0.962211222409231
31,50,"medium",0.4472136,150231,0,0,0,"int12_3","null",0,0.99414198901642
32,50,"medium",0.4472136,150232,2,0,2,"int12_3","x1",0,0.993803589045317
33,50,"medium",0.4472136,150233,0,0,0,"int12_3","null",0,0.832963528675898
34,50,"medium",0.4472136,150234,0,0,0,"int12_3","null",0,0.867135968084321
35,50,"medium",0.4472136,150235,0,0,0,"int12_3","null",0,0.977572060655574
36,50,"medium",0.4472136,150236,1,0,1,"int12_3","null",0,0.604390840651806
37,50,"medium",0.4472136,150237,0,0,0,"int12_3","null",0,0.994312197624199
38,50,"medium",0.4472136,150238,1,0,1,"int12_3","null",0,0.939332370941046
39,50,"medium",0.4472136,150239,1,0,1,"int12_3","int12_3",1,0.603197760682467
40,50,"medium",0.4472136,150240,2,0,2,"int12_3","x1",0,0.990369805627553
41,50,"medium",0.4472136,150241,0,0,0,"int12_3","null",0,0.971527589792399
42,50,"medium",0.4472136,150242,1,0,1,"int12_3","x1",0,0.99935900935637
43,50,"medium",0.4472136,150243,1,0,1,"int12_3","null",0,0.763589648510936
44,50,"medium",0.4472136,150244,2,0,2,"int12_3","int12_3",1,0.864636329639748
45,50,"medium",0.4472136,150245,1,0,1,"int12_3","int12_3",1,0.996315859861316
46,50,"medium",0.4472136,150246,0,0,0,"int12_3","null",0,0.968502058684473
47,50,"medium",0.4472136,150247,0,0,0,"int12_3","x1",0,0.901369823986685
48,50,"medium",0.4472136,150248,1,0,1,"int12_3","null",0,0.805787833265454
49,50,"medium",0.4472136,150249,0,0,0,"int12_3","null",0,0.537351275648805
50,50,"medium",0.4472136,150250,1,0,1,"int12_3","null",0,0.742976119585402
