"model","log_marginal","post_prob"
"null",-10.9635822881968,0.522651484621052
"x1",-11.0868615257756,0.462032681131784
"int12_3",-14.7323677190815,0.0120628373565266
"int12_4",-16.5204676144134,0.0020178438459193
"x2",-17.9519683036824,0.000482163914605858
"x4",-18.7392090605762,0.000219432215397112
"x3",-19.1039166233204,0.000152373662244225
"main",-19.2032904956573,0.000137959744497243
"int13_2",-19.7337529615056,8.11662459288174e-05
"int14_2",-19.9943372120791,6.25468089509155e-05
"int24_1",-20.0750737359153,5.76954720137397e-05
"int23_1",-20.488886952815,3.81438858527325e-05
"int12",-22.8913360699836,3.45187085796367e-06
"int34",-26.8008491106322,6.92109162920878e-08
"int13",-27.2662848395898,4.34548675155117e-08
"int14",-27.2801423491387,4.28568443993557e-08
"int24",-27.5498268789997,3.27263587670865e-08
"int23",-27.6151721710443,3.06562188192457e-08
"int13_4",-32.6734036757084,1.94875192263009e-10
"int14_3",-33.7176925186544,6.85847681212022e-11
"int34_1",-33.9288494892577,5.55294494322828e-11
"int23_4",-40.1568265469405,1.09584037616736e-13
"int34_2",-41.2052915113825,3.84065015815674e-14
"int24_3",-41.5866175409992,2.62299195733448e-14
"int124_3",-45.9483853629407,3.34584072131983e-16
"int123_4",-47.6384377390838,6.17340602487771e-17
"int134_2",-48.0455356795336,4.10888940864783e-17
"int234_1",-50.3925611100493,3.93028694651987e-18
"full",-97.1929652052255,1.85894700728849e-38
