"rep","n","tau_label","tau_sd","seed","n_y0","n_y1","n_y01","true_model","chosen_model","correct","chosen_post_prob"
1,50,"small",0.1,150101,0,0,0,"int12_3","null",0,0.994221362416403
2,50,"small",0.1,150102,0,0,0,"int12_3","null",0,0.997277447870375
3,50,"small",0.1,150103,1,0,1,"int12_3","null",0,0.746778412477699
4,50,"small",0.1,150104,2,0,2,"int12_3","int12_3",1,0.506755508563152
5,50,"small",0.1,150105,0,0,0,"int12_3","null",0,0.99573283345971
6,50,"small",0.1,150106,0,0,0,"int12_3","x1",0,0.778463355839688
7,50,"small",0.1,150107,1,0,1,"int12_3","int12_3",1,0.76863922794257
8,50,"small",0.1,150108,2,1,3,"int12_3","int12_3",1,0.916909840589016
9,50,"small",0.1,150109,1,0,1,"int12_3","null",0,0.522651484621052
10,50,"small",0.1,150110,0,0,0,"int12_3","int12_3",1,0.532189711585244
11,50,"small",0.1,150111,0,0,0,"int12_3","null",0,0.637085450554701
12,50,"small",0.1,150112,1,0,1,"int12_3","x1",0,0.595302858162669
13,50,"small",0.1,150113,0,0,0,"int12_3","null",0,0.96270697583121
14,50,"small",0.1,150114,0,0,0,"int12_3","null",0,0.971859171730313
15,50,"small",0.1,150115,1,0,1,"int12_3","int12_3",1,0.998089278473618
16,50,"small",0.1,150116,0,0,0,"int12_3","null",0,0.98900990506684
17,50,"small",0.1,150117,0,0,0,"int12_3","x1",0,0.503149162541781
18,50,"small",0.1,150118,0,0,0,"int12_3","null",0,0.99262775554538
19,50,"small",0.1,150119,0,0,0,"int12_3","null",0,0.953791441777549
20,50,"small",0.1,150120,0,1,1,"int12_3","x1",0,0.979020571720451
21,50,"small",0.1,150121,1,0,1,"int12_3","null",0,0.975976869617568
22,50,"small",0.1,150122,2,0,2,"int12_3","int12_3",1,0.703771666994569
23,50,"small",0.1,150123,0,0,0,"int12_3","null",0,0.983422953757281
24,50,"small",0.1,150124,0,0,0,"int12_3","null",0,0.865934371768145
25,50,"small",0.1,150125,0,0,0,"int12_3","null",0,0.89809540120749
26,50,"small",0.1,150126,1,0,1,"int12_3","x1",0,0.983940854078707
27,50,"small",0.1,150127,1,0,1,"int12_3","int12_3",1,0.524858319143111
28,50,"small",0.1,150128,0,0,0,"int12_3","x1",0,0.954251677389878
29,50,"small",0.1,150129,1,0,1,"int12_3","int12_3",1,0.975001625369504
30,50,"small",0.1,150130,2,0,2,"int12_3","x1",0,0.983125169129441
31,50,"small",0.1,150131,0,0,0,"int12_3","null",0,0.947727043210784
32,50,"small",0.1,150132,1,1,2,"int12_3","x1",0,0.96755883458431
33,50,"small",0.1,150133,0,1,1,"int12_3","int12_4",0,0.47561321628742
34,50,"small",0.1,150134,0,0,0,"int12_3","null",0,0.928191231466188
35,50,"small",0.1,150135,0,0,0,"int12_3","x1",0,0.994131303961446
36,50,"small",0.1,150136,2,0,2,"int12_3","null",0,0.968735556130296
37,50,"small",0.1,150137,0,0,0,"int12_3","null",0,0.978824466303324
38,50,"small",0.1,150138,1,0,1,"int12_3","int12_3",1,0.964224360074403
39,50,"small",0.1,150139,1,1,2,"int12_3","x2",0,0.998838069789015
40,50,"small",0.1,150140,1,0,1,"int12_3","null",0,0.503666259994318
41,50,"small",0.1,150141,1,0,1,"int12_3","null",0,0.787900844238761
42,50,"small",0.1,150142,1,0,1,"int12_3","x2",0,0.971670444232159
43,50,"small",0.1,150143,0,0,0,"int12_3","null",0,0.84801245327876
44,50,"small",0.1,150144,2,0,2,"int12_3","int12_3",1,0.992543372502166
45,50,"small",0.1,150145,0,0,0,"int12_3","null",0,0.507308664062815
46,50,"small",0.1,150146,1,0,1,"int12_3","null",0,0.746333253299282
47,50,"small",0.1,150147,0,0,0,"int12_3","null",0,0.614879312148361
48,50,"small",0.1,150148,1,1,2,"int12_3","int12_3",1,0.874796983441835
49,50,"small",0.1,150149,1,1,2,"int12_3","int12_3",1,0.975076911178007
50,50,"small",0.1,150150,1,0,1,"int12_3","null",0,0.994482818618251
