"model","log_marginal","post_prob"
"int12_3",417.48949029391,0.998453696748508
"int12",411.019149598186,0.00154630325148038
"int124_3",385.370080087356,1.12213553260206e-14
"int123_4",381.864102494177,3.36836070442659e-16
"int12_4",381.369438090103,2.05394387024425e-16
"full",320.84001041506,1.05923455239526e-42
"main",239.777199941747,6.6048181231709e-78
"int23_1",235.57066820526,9.83982425717628e-80
"int13_2",235.178598858525,6.64834867395961e-80
"int24",234.842554990193,4.75085516127335e-80
"int34",231.060213650899,1.0817373321024e-81
"int14",230.861696627321,8.86965995368539e-82
"int23",230.470008540382,5.9951353895646e-82
"int13",230.212686533561,4.6349544202488e-82
"int24_1",229.569945729843,2.43728706331246e-82
"int14_2",226.387158254401,1.01074044789703e-83
"int234_1",210.324346902814,1.0681919772415e-90
"int134_2",209.175869317203,3.38744173391894e-91
"x1",163.320465168947,4.1221410362118e-111
"int34_1",157.455540670436,1.16954921102071e-113
"int13_4",156.763021662796,5.85142060482598e-114
"int14_3",156.701259696452,5.50095934752646e-114
"x2",142.118888073449,2.55502354483365e-120
"x3",138.463852765602,6.60744019880775e-122
"int24_3",137.142114551852,1.76201511042898e-122
"null",133.665135522531,5.44473594288265e-124
"int34_2",133.169071673622,3.31542364204478e-124
"int23_4",132.765348115737,2.21413509972269e-124
"x4",128.514115684151,3.15440411301598e-126
