"model","log_marginal","post_prob"
"int12_3",311.457047020497,0.99994119200755
"int12",301.715872855573,5.88079813723618e-05
"int12_4",286.231015190316,1.10776600924562e-11
"int124_3",276.186840122017,4.81191810810714e-16
"int123_4",273.172559349472,2.36174345910617e-17
"int13_2",226.551643059067,1.33667564505559e-37
"main",225.614418207532,5.23593749844414e-38
"int23_1",225.386855711512,4.17028098096351e-38
"int14",217.792536929315,2.09891367203187e-41
"int13",217.086641627336,1.03616314765693e-41
"int34",216.556552244914,6.09836267029956e-42
"int24",216.44901544959,5.47659482280107e-42
"int23",215.949819330678,3.32439401446243e-42
"full",212.072172098544,6.88131907828217e-44
"int14_2",209.513017591941,5.32408542916648e-45
"int24_1",208.624818238877,2.19030673001812e-45
"int134_2",191.56902701436,8.57568705457889e-53
"int234_1",188.697113838786,4.85302892310287e-54
"x1",128.412073646162,3.19560125216479e-80
"int14_3",109.873019872924,2.83885904343072e-88
"int34_1",107.246632990974,2.05361249958304e-89
"int13_4",106.755802754895,1.25705313644631e-89
"x2",95.4493842720434,1.54539135621121e-94
"null",81.4503950904667,1.28633689103351e-100
"x3",77.3354063254864,2.10008953736272e-102
"int34_2",77.0794985948727,1.62591746457958e-102
"int24_3",76.1963795362355,6.72302555360767e-103
"int23_4",76.1357901631702,6.32777650450715e-103
"x4",72.7052453106757,2.04825692677849e-104
