"model","log_marginal","post_prob","rep","n","tau_label","tau_sd","seed","true_model","chosen_model","correct"
"int12_3",302.699961180794,0.999717066026997,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int12",294.529947156024,0.000282933972920636,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int124_3",272.545634390007,8.01713829493919e-14,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int123_4",269.017313596691,2.35336410092959e-15,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int12_4",253.904373932279,6.4301754455754e-22,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"main",237.57904212365,5.22662453688679e-29,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int13_2",236.69103978084,2.15063537742983e-29,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int23_1",236.440229418457,1.67355977650356e-29,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int14",231.211449255181,8.97038033713646e-32,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int34",229.059674386537,1.04305427029464e-32,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int13",228.713250878486,7.37661449238056e-33,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int23",228.57632943407,6.43269351115769e-33,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int24",227.998464219187,3.60935156089513e-33,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"full",211.642582196367,2.84550842914537e-40,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int134_2",204.855106935265,3.20920030266213e-43,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int234_1",202.758157103941,3.94187713824263e-44,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int14_2",196.707785865917,9.29095254334023e-47,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int24_1",193.562311122135,3.99942832057177e-48,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int13_4",129.741966810684,7.67669966309971e-76,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int14_3",128.846392452227,3.13495670873612e-76,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int34_1",127.136667752301,5.67162548346537e-77,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"x1",116.89716231221,2.02650105953782e-81,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int23_4",83.6815426475869,7.61003232994463e-96,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int24_3",82.483019650991,2.29548562771689e-96,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int34_2",81.8883915917122,1.26657494593694e-96,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"x2",81.7292412153846,1.08022136530972e-96,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"x3",76.3629267700342,5.04605536211599e-99,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"null",59.2616167771541,1.88776290474283e-106,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"x4",51.8341104912884,1.12259331977857e-109,16,500,"medium",0.4472136,600216,"int12_3","int12_3",1
"int12_3",374.966137769913,0.999925007741442,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int12",365.468087095985,7.49922585567705e-05,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int123_4",340.523986126322,1.10136437954058e-15,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int12_4",339.215090767821,2.97498646896976e-16,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int124_3",338.900825807579,2.17270846646623e-16,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int13_2",304.204471157804,1.85594922289521e-31,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"main",298.754722924878,7.97573112585312e-34,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int23_1",298.352265425647,5.33317007657156e-34,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int13",294.878045829283,1.6525363989398e-35,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int34",290.320639009359,1.73338247097235e-37,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int14",289.50866294905,7.69586920356329e-38,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int24",289.333884372663,6.46178206658772e-38,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int23",289.10301860394,5.12965996176501e-38,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"full",278.224278344128,9.67189810191462e-43,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int24_1",271.100312748174,7.79135091117527e-46,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int14_2",270.898512214127,6.36754329276277e-46,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int134_2",269.501290422904,1.57458529941146e-46,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
"int234_1",262.467685207738,1.38838610837365e-49,17,500,"medium",0.4472136,600217,"int12_3","int12_3",1
